,FIPS,exposure1,exposure2,exposure3,exposure4
0,17097865300,0.0022622084721253158,0.0011820127933936742,0.0019325066090919649,0.0017245274081747917
0,17097865400,0.005191312270702065,0.0027190535095583676,0.0044752868338823375,0.0039691981175714874
0,17097865501,0.00035285322528492936,0.00018278017877137098,0.00030261486296308325,0.0002681529283190364
0,17097865502,0.0010695793512245865,0.0005558224067552091,0.0009163818385679814,0.0008147935879293998
0,17097865600,0.0013618091272706446,0.0007070230447389367,0.0011915058179173801,0.0010434023824511022
0,17097865700,0.005679927662292134,0.002975813857644081,0.0048844390796603625,0.004342114329729716
0,17097865801,0.0026089209671742216,0.0013608392276078791,0.0022506881176921002,0.001988807744333089
0,17097865802,0.0014398180775945645,0.0007484408337499354,0.0012387048558628164,0.0010961097576240397
0,17097866000,0.016366925858172163,0.008620028097889181,0.013942800273250596,0.012526303112493005
0,17097866100,0.00464084573152581,0.0024233437727533003,0.003962872703550572,0.003536768109283654
0,17097866200,0.00801917506132254,0.004219436295440745,0.006868039144148731,0.006144202204770928
0,17099961701,0.0010943292836589345,0.0005518636979325361,0.0012615007535819683,0.004860534073150213
0,17099961702,0.00015016186671579207,7.498453488780111e-05,0.000166303561569731,0.0006620721425934879
0,17099961800,0.00028064080405327933,0.0001405520305827568,0.00030939007645914575,0.001222369419786636
0,17099961900,0.0014550404437602446,0.0007371702865732619,0.0015772661527962053,0.006093598147460071
0,17099962000,0.0007218217838840254,0.0003636809115883108,0.0007782517708534008,0.0030636660863670993
0,17099962100,0.0014618391165975124,0.0007375970861364613,0.001580990725066514,0.006199525787718269
0,17099962200,0.0011429009224733356,0.0005755936980785606,0.001238150917995555,0.004837280811015779
0,17099962300,0.0016025925177485583,0.000807696366121377,0.0017486773228209645,0.00685284185021447
0,17099962400,0.0005606319993208368,0.0002818411798990308,0.0006113521773575561,0.002387767821325138
0,17099962500,0.0002734366896898658,0.00013677664171592174,0.00029646354016444265,0.0011705981671376658
0,17099962600,0.001985286599125152,0.0010050447449248142,0.002151916158459972,0.008285007754564885
0,17099962700,0.00023120862152906294,0.00011573973431575215,0.00025031069828123536,0.0009889824828600135
0,17099962800,0.000721953402204199,0.0003634335685013516,0.0007816283900107723,0.003053302132563039
0,17099962900,0.0005416213961086197,0.00027169018346232394,0.000585401897444662,0.0023396016757278393
0,17099963000,0.0017866052516551881,0.0009039033861714739,0.0019328851603919014,0.007481222688070607
0,17099963100,0.0006160469149898846,0.00030926846826392397,0.0006657447214924903,0.0026461496645576116
0,17099963200,0.0003518560483115187,0.0001761706061867775,0.0003813758240009488,0.0015459689007175418
0,17099963300,0.000259169137774807,0.0001295928373876576,0.00028169872099934946,0.0011285802310724658
0,17099963400,0.0008820597390902165,0.00044368688632298885,0.000957914185786084,0.0037665911131131266
0,17099963500,0.0020141168436731854,0.0010195890376004124,0.0021842384192153085,0.008397791783907513
0,17099963600,0.0006761455562668627,0.00034019129929506496,0.0007312777724679457,0.0028488465111352057
0,17099963700,0.0008616275681243659,0.0004342123773597777,0.0009313294948571556,0.0036242307318357686
0,17099963800,0.0007101626299912472,0.00035782346929745697,0.0007766166727544386,0.003019033702140038
0,17099963900,0.0010887188255757944,0.0005497515455081175,0.0011855222052723046,0.00458676904181023
0,17099964000,0.0002670564439804581,0.00013343693721015328,0.0002907274385716067,0.0011553397551256886
0,17099964100,0.00018831456522114308,9.404785970657491e-05,0.00020645056941302295,0.0008278038562679125
0,17099964200,0.00037448077769510954,0.0001879062809147367,0.00040813123420131936,0.0015973415105088665
0,17099964300,0.0004541016510982551,0.0002277477914274877,0.0004952336323369208,0.001944300004652448
0,17111870101,0.005045021484482341,0.003210704302677215,0.005871697064474041,0.007724799454571357
0,17111870102,0.0036803790348286553,0.0023380196637426075,0.004321417081069015,0.00569116619857573
0,17111870200,0.0037918070241988932,0.002410019822017928,0.004415863421696788,0.005804476944511608
0,17111870301,0.003645758560052162,0.0023204727352224676,0.004237879055567684,0.005563714264658937
0,17111870302,0.002134010745767508,0.0013558359558920301,0.002484630472994997,0.0032611330166999394
0,17111870401,0.007492746646674409,0.00478904672628225,0.008701672283315236,0.01138682819121126
0,17111870402,0.009791532096658211,0.006251096209010894,0.011362601210352364,0.014897618183458135
0,17111870500,0.007519753214720937,0.004807149802132729,0.008725181109958985,0.011406848679680434
0,17111870603,0.0019144316035868728,0.0012149076387663331,0.0022273769646368683,0.0029361327530790515
0,17111870604,0.005006346247497554,0.0031911438630585647,0.005822434180360875,0.007647235470848984
0,17111870605,0.007101637908776421,0.004533253247672242,0.008250275760565966,0.010823506580907829
0,17111870606,0.002375213539070988,0.001510423505986195,0.002763780743766008,0.0036284302270149513
0,17111870702,0.005438865005681824,0.0034614645259460936,0.0063372806827834026,0.00835825229978683
0,17111870703,0.003721662830864968,0.002368736718041405,0.004330446107211094,0.0056984535878986916
0,17111870704,0.001513763771432219,0.0009597190487471626,0.0017655001303521743,0.002331229461397365
0,17111870803,0.010871926044244444,0.006956267248479172,0.012623143565986482,0.016547438901629293
0,17111870807,0.004407295743245101,0.002805224293797981,0.005127364532539917,0.006738570353336664
0,17111870808,0.0018881740928435378,0.0011978683827314097,0.0021956802187283026,0.0028903754726449754
0,17111870809,0.00579242518596524,0.003690309307119648,0.006731834845920431,0.008843733890167347
0,17111870810,0.0016990466855146696,0.0010757774609230573,0.0019832510749441144,0.002618962788925946
0,17111870811,0.0013705960240800647,0.0008682195905033192,0.001603243540276244,0.002129081511859939
0,17111870812,0.0023345612563646636,0.0014795600443236027,0.0027418814262455474,0.0036669129303607438
0,17111870902,0.009442787104467994,0.006028228756910832,0.010954594485152989,0.014370042713884743
0,17111870903,0.002471900353826722,0.0015711657140466914,0.0028733517416741827,0.0037726194162035313
0,17111870904,0.004990693936252013,0.0031856651411857188,0.005790862891213913,0.007579930139520549
0,17111870905,0.006628979963573286,0.0042270708789964116,0.007697101819676438,0.010086405258833222
0,17111871003,0.0043190437910768185,0.0027436396033591348,0.005049658522508126,0.006676359941707144
0,17111871004,0.004841384623279586,0.0030849041301928945,0.005628503364009221,0.007412059786011912
0,17111871104,0.036554740935624205,0.023546880452178762,0.04219814360468607,0.055447671125441404
0,17111871105,0.0025625167428134487,0.0016268744915969996,0.0029800586304113154,0.003928286170824448
0,17111871106,0.011118052836158526,0.007090459390077988,0.01289625965812381,0.01701079545358098
0,17111871107,0.0033105319163834264,0.0021010014109070214,0.003843862324145393,0.005090857056128239
0,17111871108,0.004054895609253204,0.0025754737948612775,0.004709461603713742,0.0062204738554442725
0,17111871109,0.003207026970646195,0.0020397264621887312,0.003717878659544172,0.004917800118098579
0,17111871201,0.005778979104413694,0.003677909346883962,0.006713204443695305,0.008835167872035402
0,17111871202,0.005191073565128591,0.0032979778622067666,0.006039861983654413,0.007964361113276381
0,17111871205,0.001373260156512716,0.0008685345625042434,0.0015955631509338344,0.002134393983926789
0,17111871206,0.004267913147895282,0.0027047471109546846,0.0049431553554129025,0.006643253701500449
0,17111871207,0.0031607604517072748,0.0020038349515734133,0.0036686132819021004,0.004874206519314183
0,17111871208,0.0025807594794435037,0.00163898899926749,0.002999806427957192,0.003955905171950295
0,17111871209,0.0021002393890965578,0.001328277742544678,0.002439238090558828,0.0032430095031112834
0,17111871301,0.0035061646418808,0.0022250804709083743,0.004076044048294399,0.005371521396043732
0,17111871304,0.001501792299773018,0.0009492533320526264,0.0017525436746369761,0.002319186096680249
0,17111871305,0.003875694889634579,0.002458435510306675,0.004510888609743855,0.0059666521274134585
0,17111871306,0.007677983018042731,0.004884173786357158,0.008929046535502977,0.011812392408536416
0,17111871307,0.0020170075256062754,0.0012768622123079535,0.0023477037454412595,0.003102378202595956
0,17111871310,0.0018362200274510405,0.001161901544133169,0.0021283821768871163,0.0028618898994703925
0,17111871311,0.0016164490284309126,0.0010210098515547536,0.001873563158443686,0.0025240802662977895
0,17111871402,0.0023030051036221602,0.0014581481467471065,0.0026920527249068398,0.003571725939567991
0,17111871404,0.001383467919029651,0.0008742659615013891,0.001607779310857568,0.0021588521063072353
0,17111871500,0.01078456293057082,0.006898057460066774,0.012486750899157744,0.01644126597715025
0,17111871600,0.0015629928702035752,0.00098921618776234,0.0018176622970935744,0.0024143124344635446
0,17113000102,0.0033535928424855226,0.0006751582227305262,0.0010559188251793709,0.006213575712494806
0,17113000104,0.012728331313350405,0.0026225254674280903,0.004112192910602536,0.023421347891594627
0,17113000105,0.0026754322193662736,0.000536648892297051,0.0008481672023960659,0.004988238685960013
0,17113000200,0.0016331356814302373,0.00032205079690951006,0.0005432824836483237,0.0031487939970483905
0,17113000301,0.001145078603321269,0.00022632757016567513,0.0003564658249057109,0.00214208626885519
0,17113000302,0.00347624960416558,0.0007013651924231175,0.0011001048930414483,0.006449341981839864
0,17113000400,0.00045824524194840253,9.031475406309039e-05,0.00014218217711706505,0.0008574322470645048
0,17113000501,0.000622105694810384,0.0001220888104560288,0.0001931964643491445,0.0011699648944762569
0,17113000502,0.0008214138784462774,0.00016312799513062474,0.0002557796937456832,0.0015317862629596805
0,17113000504,0.003263264540190241,0.0006547018625482598,0.001034614564371326,0.006048809797680468
0,17113000505,0.006149061461489811,0.0012613792585396,0.0019727416558744126,0.011306982345375092
0,17113001103,0.0015930339455901535,0.0003178846715100959,0.0004998342902851627,0.002969324875171455
0,17113001104,0.00940711813936829,0.001956823070402537,0.003035930645114874,0.01714175959379532
0,17113001105,0.003962360092728854,0.0008017214870448888,0.0012690925073427773,0.007370793695678763
0,17113001106,0.0015878745900001364,0.0003154984943450798,0.0005039089980203543,0.002979996998092396
0,17113001200,0.001012095583294679,0.0001999714966010311,0.00032258081253652243,0.0019093035963884306
0,17113001301,0.000318821159382527,6.260650799387906e-05,9.831567888501266e-05,0.000597198510331144
0,17113001302,0.00017614990577163306,3.436536967306121e-05,5.4097774292687374e-05,0.00033166002850127155
0,17113001303,0.00014616500570379217,2.8408683032107527e-05,4.472766573207402e-05,0.00027510575062588723
0,17113001402,0.0020602154491648978,0.0004148820945143795,0.0006503108107324849,0.003819773856567193
0,17113001403,0.001140702327861883,0.0002265358327164625,0.0003550227347666157,0.0021256914787429752
0,17113001404,0.00161902835815799,0.00032305239422911403,0.0005074792282612442,0.0030150715990214585
0,17113001500,0.0002725952161005338,5.3204740805953765e-05,8.367890768395031e-05,0.0005120665591413488
0,17113001600,0.00030015922621815015,5.878539949892968e-05,9.237661746966578e-05,0.0005629442627675949
0,17113001700,0.00038598989414278856,7.603905882967696e-05,0.0001193144148997627,0.0007219261248566351
0,17113001800,0.0013654333413167363,0.0002746023018464986,0.0004286838296067924,0.002528602802380429
0,17113002101,0.0018035285801379169,0.000360850766087777,0.000567080642930264,0.0033505868157900865
0,17113002102,0.0002989558975463445,5.8816734051762876e-05,9.2457204553845e-05,0.0005597986213318465
0,17113005101,0.01063793211172119,0.0022252310370830474,0.0034629616602326963,0.019351823746234505
0,17113005102,0.0031692876491093173,0.0006424466323486302,0.001014068414066214,0.005878778361554637
0,17113005201,0.00021709110183382803,4.239774913837701e-05,6.741797602681985e-05,0.00040949992996316547
