"","Origin.ID","Destination.ID","Traffic.V"
"494",5,135,1365
"495",23,35,1360
"496",201,97,1357
"497",103,11,1355
"498",81,199,1353
"499",65,81,1348
"500",125,107,1341
"501",107,125,1333
"502",165,69,1332
"503",157,189,1323
"504",109,187,1318
"505",23,33,1307
"506",187,71,1306
"507",53,113,1297
"508",195,73,1296
"509",81,27,1289
"510",145,189,1286
"511",29,23,1285
"512",143,73,1277
"513",141,7,1274
"514",101,33,1273
"515",11,195,1244
"516",189,145,1243
"517",113,99,1240
"518",7,141,1240
"519",23,29,1232
"520",65,193,1228
"521",33,101,1226
"522",113,197,1222
"523",199,81,1215
"524",197,113,1212
"525",95,161,1209
"526",141,31,1208
"527",47,185,1208
"528",105,53,1207
"529",159,79,1207
"530",35,23,1200
"531",119,167,1174
"532",187,109,1169
"533",185,47,1165
"534",97,201,1163
"535",99,113,1160
"536",193,65,1159
"537",175,143,1153
"538",165,193,1143
"539",141,15,1140
"540",47,191,1126
"541",191,47,1123
"542",161,95,1121
"543",113,53,1120
"544",203,105,1119
"545",193,165,1118
"546",69,165,1118
"547",109,169,1117
"548",187,131,1116
"549",9,1,1116
"550",33,79,1111
"551",11,103,1106
"552",85,15,1100
"553",167,119,1099
"554",199,145,1097
"555",73,195,1082
"556",181,153,1070
"557",91,43,1064
"558",1,9,1063
"559",51,135,1063
"560",153,181,1062
"561",73,131,1059
"562",87,181,1047
"563",81,163,1046
"564",145,199,1038
"565",105,203,1037
"566",131,187,1034
"567",39,107,1034
"568",141,89,1031
"569",43,91,1031
"570",79,159,1030
"571",179,95,1026
"572",15,141,1025
"573",181,87,1019
"574",31,141,1019
"575",107,39,1013
"576",55,165,1008
"577",135,51,1005
"578",203,99,1002
"579",179,167,995
"580",195,11,993
"581",165,55,977
"582",169,109,976
"583",27,81,971
"584",19,167,962
"585",89,141,960
"586",15,85,956
"587",55,65,952
"588",167,179,951
"589",91,105,945
"590",121,25,943
"591",45,183,939
"592",163,81,935
"593",25,121,935
"594",79,33,930
"595",201,197,927
"596",167,125,924
"597",95,131,924
"598",109,95,903
"599",95,179,901
"600",105,91,897
"601",65,55,897
"602",99,203,891
"603",169,9,887
"604",125,167,878
