Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Trip Duration 0-10 min (percent),Trip Duration 10-20 min (percent),Trip Duration 20-30 min (percent),Trip Duration 30-40 min (percent),Trip Duration 40-50 min (percent),Trip Duration 50-60 min (percent),Trip Duration 60-70 min (percent),Trip Duration 70-80 min (percent),Trip Duration 80-90 min (percent),Trip Duration 90-100 min (percent),Trip Duration 100-110 min (percent),Trip Duration 110-120 min (percent),Trip Duration 120-130 min (percent),Trip Duration 130-140 min (percent),Trip Duration 140-150 min (percent),Trip Duration 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70-80 mph (percent),Trip Speed 80-90 mph (percent),Trip Speed 90+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),35451,1746,1806,11.5,11.7,20,20,2.167,0.154,0.287,0.209,0.132,0.076,0.046,0.027,0.018,0.013,0.011,0.007,0.005,0.003,0.002,0.002,0.008,0.118,0.147,0.211,0.176,0.198,0.074,0.026,0.013,0.007,0.010,0.007,0.003,0.002,0.008,0.317,0.256,0.192,0.135,0.074,0.022,0.003,0.001,0.000,0.000,0.829,0.085,0.029,0.015,0.008,0.034
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),5337,2008,2052,15.0,15.1,21,21,2.121,0.147,0.270,0.195,0.129,0.075,0.048,0.031,0.023,0.018,0.016,0.009,0.008,0.005,0.004,0.004,0.018,0.108,0.131,0.202,0.177,0.192,0.073,0.032,0.016,0.011,0.017,0.012,0.006,0.005,0.018,0.292,0.246,0.186,0.143,0.095,0.032,0.005,0.001,0.000,0.000,0.842,0.079,0.029,0.013,0.008,0.029
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),13038,1777,1833,11.7,11.9,20,20,2.121,0.150,0.281,0.213,0.131,0.078,0.046,0.027,0.018,0.013,0.012,0.009,0.005,0.004,0.003,0.002,0.008,0.114,0.149,0.208,0.170,0.205,0.076,0.026,0.013,0.007,0.011,0.008,0.003,0.002,0.008,0.317,0.250,0.196,0.138,0.075,0.020,0.003,0.001,0.000,0.000,0.831,0.087,0.027,0.017,0.008,0.030
All Vehicles - StL All Vehicles Volume,Origin,101,LAWRENCE,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),9839,1652,1713,10.2,10.4,19,19,2.119,0.156,0.292,0.214,0.136,0.074,0.046,0.028,0.016,0.011,0.009,0.005,0.004,0.002,0.001,0.001,0.005,0.125,0.153,0.217,0.175,0.194,0.074,0.025,0.012,0.007,0.007,0.004,0.001,0.001,0.005,0.330,0.264,0.189,0.128,0.066,0.019,0.003,0.001,0.000,0.000,0.827,0.088,0.029,0.014,0.009,0.033
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),171631,1747,1814,12.0,12.2,19,19,2.135,0.159,0.302,0.208,0.120,0.069,0.041,0.027,0.019,0.013,0.010,0.007,0.005,0.004,0.003,0.003,0.010,0.104,0.172,0.254,0.157,0.173,0.052,0.024,0.016,0.011,0.008,0.006,0.005,0.004,0.014,0.349,0.272,0.172,0.115,0.060,0.023,0.008,0.001,0.000,0.000,0.813,0.092,0.032,0.017,0.010,0.036
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),34358,1854,1931,13.4,13.7,20,20,2.146,0.143,0.286,0.214,0.124,0.074,0.044,0.029,0.021,0.015,0.011,0.008,0.006,0.005,0.004,0.003,0.013,0.095,0.155,0.239,0.163,0.185,0.059,0.030,0.019,0.013,0.009,0.007,0.006,0.004,0.016,0.323,0.266,0.182,0.128,0.067,0.025,0.008,0.001,0.000,0.000,0.820,0.087,0.030,0.017,0.010,0.036
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),57655,1792,1874,12.1,12.3,18,18,2.246,0.159,0.297,0.201,0.119,0.069,0.042,0.029,0.020,0.015,0.011,0.008,0.006,0.005,0.004,0.003,0.012,0.106,0.182,0.262,0.149,0.160,0.049,0.023,0.016,0.012,0.009,0.007,0.005,0.004,0.016,0.375,0.275,0.159,0.106,0.055,0.022,0.007,0.001,0.000,0.000,0.794,0.098,0.036,0.019,0.012,0.041
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),50954,1663,1715,11.0,11.1,19,19,2.051,0.160,0.308,0.214,0.124,0.069,0.039,0.024,0.017,0.012,0.008,0.006,0.004,0.003,0.003,0.002,0.007,0.103,0.170,0.256,0.164,0.182,0.050,0.022,0.013,0.009,0.007,0.005,0.004,0.004,0.011,0.345,0.276,0.178,0.116,0.058,0.020,0.006,0.001,0.000,0.000,0.818,0.091,0.032,0.016,0.010,0.033
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),173097,1705,1780,11.5,11.7,19,19,2.156,0.161,0.304,0.210,0.121,0.069,0.040,0.026,0.018,0.012,0.009,0.006,0.005,0.004,0.003,0.002,0.010,0.101,0.174,0.260,0.159,0.175,0.051,0.024,0.015,0.010,0.007,0.005,0.004,0.003,0.012,0.349,0.276,0.174,0.114,0.058,0.021,0.007,0.001,0.000,0.000,0.814,0.090,0.032,0.017,0.010,0.037
All Vehicles - StL All Vehicles Volume,Origin,103,LEE,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),37574,1796,1881,12.7,13.0,20,19,2.155,0.145,0.291,0.216,0.124,0.075,0.044,0.028,0.020,0.013,0.009,0.007,0.005,0.004,0.003,0.003,0.013,0.095,0.157,0.241,0.163,0.187,0.060,0.030,0.019,0.012,0.008,0.006,0.005,0.003,0.014,0.324,0.268,0.184,0.128,0.066,0.022,0.007,0.001,0.000,0.000,0.821,0.087,0.029,0.017,0.010,0.036
