Mode of Travel,Zone Type,Zone ID,Zone Name,Zone Is Pass-Through,Zone Direction (degrees),Zone is Bi-Direction,Day Type,Day Part,Average Daily Zone Traffic (StL Volume),Avg Trip Duration (sec),Avg All Trip Duration (sec),Avg Trip Length (mi),Avg All Trip Length (mi),Avg Trip Speed (mph),Avg All Trip Speed (mph),Avg All Trip Circuity,Trip Duration 0-10 min (percent),Trip Duration 10-20 min (percent),Trip Duration 20-30 min (percent),Trip Duration 30-40 min (percent),Trip Duration 40-50 min (percent),Trip Duration 50-60 min (percent),Trip Duration 60-70 min (percent),Trip Duration 70-80 min (percent),Trip Duration 80-90 min (percent),Trip Duration 90-100 min (percent),Trip Duration 100-110 min (percent),Trip Duration 110-120 min (percent),Trip Duration 120-130 min (percent),Trip Duration 130-140 min (percent),Trip Duration 140-150 min (percent),Trip Duration 150+ min (percent),Trip Length 0-1 mi (percent),Trip Length 1-2 mi (percent),Trip Length 2-5 mi (percent),Trip Length 5-10 mi (percent),Trip Length 10-20 mi (percent),Trip Length 20-30 mi (percent),Trip Length 30-40 mi (percent),Trip Length 40-50 mi (percent),Trip Length 50-60 mi (percent),Trip Length 60-70 mi (percent),Trip Length 70-80 mi (percent),Trip Length 80-90 mi (percent),Trip Length 90-100 mi (percent),Trip Length 100+ mi (percent),Trip Speed 0-10 mph (percent),Trip Speed 10-20 mph (percent),Trip Speed 20-30 mph (percent),Trip Speed 30-40 mph (percent),Trip Speed 40-50 mph (percent),Trip Speed 50-60 mph (percent),Trip Speed 60-70 mph (percent),Trip Speed 70-80 mph (percent),Trip Speed 80-90 mph (percent),Trip Speed 90+ mph (percent),Circuity 1-2 (percent),Circuity 2-3 (percent),Circuity 3-4 (percent),Circuity 4-5 (percent),Circuity 5-6 (percent),Circuity 6+ (percent)
All Vehicles - StL All Vehicles Volume,Origin,65,HAMILTON,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),7156,1863,1922,14.2,14.3,22,22,2.267,0.164,0.272,0.174,0.124,0.084,0.057,0.036,0.025,0.016,0.015,0.009,0.006,0.005,0.003,0.003,0.007,0.123,0.149,0.193,0.130,0.159,0.111,0.060,0.023,0.014,0.011,0.008,0.006,0.003,0.010,0.298,0.218,0.181,0.168,0.100,0.028,0.006,0.001,0.000,0.000,0.813,0.090,0.031,0.015,0.012,0.039
All Vehicles - StL All Vehicles Volume,Origin,65,HAMILTON,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),5186,1812,1868,13.0,13.1,21,21,2.277,0.154,0.273,0.188,0.130,0.087,0.058,0.033,0.023,0.016,0.011,0.007,0.005,0.005,0.003,0.002,0.005,0.119,0.148,0.181,0.161,0.169,0.102,0.060,0.021,0.014,0.006,0.004,0.004,0.003,0.008,0.296,0.235,0.182,0.167,0.090,0.024,0.006,0.000,0.000,0.000,0.805,0.091,0.031,0.019,0.011,0.043
All Vehicles - StL All Vehicles Volume,Origin,67,HANCOCK,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),49173,1819,1877,12.8,13.0,20,19,2.130,0.161,0.276,0.190,0.127,0.085,0.054,0.033,0.021,0.014,0.009,0.006,0.005,0.003,0.003,0.002,0.011,0.177,0.158,0.160,0.149,0.153,0.091,0.048,0.026,0.011,0.006,0.004,0.003,0.002,0.012,0.373,0.212,0.160,0.136,0.086,0.028,0.004,0.001,0.000,0.000,0.814,0.096,0.032,0.016,0.010,0.032
All Vehicles - StL All Vehicles Volume,Origin,67,HANCOCK,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),10409,1928,1994,14.6,14.7,21,21,2.053,0.144,0.260,0.192,0.141,0.090,0.060,0.034,0.021,0.013,0.009,0.006,0.005,0.004,0.003,0.003,0.015,0.153,0.148,0.150,0.146,0.165,0.111,0.056,0.028,0.011,0.006,0.004,0.003,0.003,0.016,0.336,0.207,0.168,0.148,0.098,0.036,0.006,0.001,0.000,0.000,0.826,0.092,0.029,0.016,0.009,0.028
All Vehicles - StL All Vehicles Volume,Origin,67,HANCOCK,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),15645,1854,1924,12.8,13.0,19,18,2.226,0.163,0.276,0.184,0.123,0.084,0.052,0.035,0.024,0.015,0.010,0.007,0.005,0.004,0.003,0.002,0.013,0.188,0.166,0.165,0.140,0.142,0.085,0.045,0.026,0.012,0.007,0.004,0.003,0.003,0.014,0.403,0.212,0.151,0.128,0.076,0.025,0.004,0.001,0.000,0.000,0.802,0.102,0.035,0.016,0.010,0.035
All Vehicles - StL All Vehicles Volume,Origin,67,HANCOCK,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),14888,1743,1792,11.8,11.9,19,19,2.114,0.164,0.285,0.196,0.123,0.082,0.053,0.032,0.020,0.013,0.008,0.005,0.004,0.003,0.003,0.002,0.007,0.182,0.158,0.164,0.156,0.156,0.084,0.043,0.025,0.010,0.005,0.004,0.002,0.002,0.009,0.378,0.217,0.162,0.131,0.081,0.026,0.004,0.001,0.000,0.000,0.812,0.096,0.033,0.017,0.010,0.032
All Vehicles - StL All Vehicles Volume,Origin,67,HANCOCK,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),50134,1762,1824,12.1,12.2,19,19,2.134,0.165,0.279,0.189,0.127,0.085,0.055,0.032,0.020,0.013,0.008,0.006,0.004,0.003,0.003,0.002,0.009,0.185,0.163,0.157,0.146,0.151,0.092,0.048,0.025,0.010,0.006,0.004,0.002,0.002,0.009,0.382,0.209,0.158,0.134,0.085,0.027,0.004,0.001,0.000,0.000,0.813,0.097,0.032,0.016,0.010,0.032
All Vehicles - StL All Vehicles Volume,Origin,67,HANCOCK,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),11476,1859,1930,13.7,13.9,21,21,2.052,0.148,0.261,0.190,0.143,0.092,0.062,0.034,0.019,0.013,0.008,0.006,0.004,0.003,0.003,0.002,0.012,0.157,0.150,0.146,0.142,0.169,0.116,0.057,0.028,0.010,0.005,0.004,0.002,0.002,0.012,0.338,0.206,0.169,0.150,0.098,0.034,0.004,0.001,0.000,0.000,0.824,0.094,0.029,0.016,0.009,0.028
All Vehicles - StL All Vehicles Volume,Origin,67,HANCOCK,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),15035,1776,1853,11.6,11.8,18,18,2.278,0.172,0.284,0.182,0.120,0.082,0.050,0.034,0.022,0.014,0.009,0.007,0.005,0.003,0.003,0.002,0.011,0.205,0.178,0.164,0.134,0.137,0.083,0.041,0.023,0.010,0.006,0.004,0.002,0.002,0.011,0.428,0.211,0.145,0.121,0.070,0.022,0.003,0.000,0.000,0.000,0.796,0.104,0.036,0.017,0.010,0.037
All Vehicles - StL All Vehicles Volume,Origin,67,HANCOCK,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),15553,1677,1727,11.0,11.0,19,19,2.105,0.168,0.292,0.197,0.122,0.080,0.053,0.031,0.019,0.013,0.007,0.004,0.003,0.003,0.002,0.001,0.005,0.190,0.163,0.163,0.158,0.153,0.082,0.040,0.024,0.010,0.005,0.003,0.002,0.001,0.006,0.390,0.217,0.158,0.128,0.079,0.024,0.003,0.001,0.000,0.000,0.812,0.096,0.034,0.017,0.010,0.031
All Vehicles - StL All Vehicles Volume,Origin,67,HANCOCK,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),43848,1934,1982,14.5,14.6,20,20,2.073,0.149,0.271,0.194,0.129,0.084,0.054,0.034,0.023,0.015,0.010,0.007,0.005,0.004,0.003,0.003,0.015,0.156,0.146,0.166,0.158,0.158,0.092,0.049,0.028,0.012,0.007,0.004,0.003,0.002,0.019,0.346,0.216,0.166,0.141,0.091,0.033,0.006,0.001,0.000,0.000,0.825,0.092,0.030,0.014,0.009,0.030
All Vehicles - StL All Vehicles Volume,Origin,67,HANCOCK,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),7442,2146,2193,17.5,17.5,21,21,1.953,0.129,0.261,0.195,0.137,0.084,0.052,0.033,0.025,0.015,0.011,0.009,0.008,0.006,0.004,0.005,0.026,0.136,0.139,0.165,0.160,0.155,0.098,0.051,0.027,0.014,0.010,0.005,0.005,0.003,0.032,0.327,0.213,0.164,0.140,0.101,0.045,0.009,0.001,0.000,0.000,0.841,0.085,0.027,0.013,0.008,0.026
All Vehicles - StL All Vehicles Volume,Origin,67,HANCOCK,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),16376,1994,2042,15.0,15.0,20,20,2.072,0.147,0.257,0.190,0.131,0.087,0.057,0.038,0.026,0.017,0.011,0.008,0.005,0.005,0.003,0.003,0.015,0.158,0.142,0.164,0.154,0.154,0.093,0.053,0.032,0.014,0.008,0.004,0.002,0.003,0.019,0.346,0.215,0.163,0.145,0.091,0.033,0.006,0.001,0.000,0.000,0.820,0.096,0.032,0.014,0.009,0.029
All Vehicles - StL All Vehicles Volume,Origin,67,HANCOCK,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),12462,1862,1910,13.3,13.4,20,20,2.107,0.151,0.275,0.199,0.125,0.085,0.055,0.032,0.021,0.015,0.009,0.007,0.004,0.003,0.004,0.003,0.012,0.159,0.149,0.169,0.159,0.162,0.091,0.049,0.026,0.008,0.004,0.004,0.002,0.002,0.016,0.351,0.219,0.170,0.136,0.087,0.031,0.005,0.001,0.000,0.000,0.816,0.096,0.031,0.016,0.009,0.032
All Vehicles - StL All Vehicles Volume,Origin,69,HARDIN,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),11390,1929,1987,15.0,15.2,22,22,2.236,0.154,0.271,0.181,0.123,0.086,0.056,0.034,0.025,0.018,0.012,0.010,0.006,0.005,0.004,0.003,0.012,0.139,0.111,0.184,0.167,0.155,0.094,0.059,0.031,0.020,0.013,0.008,0.005,0.002,0.012,0.290,0.212,0.186,0.167,0.112,0.029,0.003,0.001,0.000,0.000,0.828,0.088,0.026,0.013,0.009,0.036
All Vehicles - StL All Vehicles Volume,Origin,69,HARDIN,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),2066,2129,2200,18.0,18.5,25,25,2.043,0.116,0.249,0.180,0.138,0.103,0.067,0.040,0.028,0.018,0.014,0.012,0.007,0.006,0.004,0.003,0.015,0.099,0.096,0.154,0.174,0.165,0.110,0.098,0.035,0.023,0.015,0.008,0.005,0.003,0.015,0.230,0.185,0.179,0.208,0.152,0.039,0.006,0.001,0.000,0.000,0.868,0.071,0.020,0.010,0.007,0.024
All Vehicles - StL All Vehicles Volume,Origin,69,HARDIN,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),3663,2025,2077,15.6,15.6,22,21,2.130,0.147,0.273,0.180,0.113,0.085,0.055,0.035,0.029,0.021,0.014,0.012,0.008,0.005,0.005,0.003,0.015,0.146,0.116,0.178,0.158,0.150,0.097,0.052,0.030,0.025,0.014,0.011,0.008,0.003,0.012,0.309,0.207,0.183,0.162,0.111,0.026,0.002,0.000,0.000,0.000,0.819,0.096,0.029,0.013,0.009,0.034
All Vehicles - StL All Vehicles Volume,Origin,69,HARDIN,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),3466,1853,1905,14.1,14.2,22,22,2.376,0.159,0.273,0.182,0.127,0.083,0.054,0.035,0.025,0.017,0.012,0.011,0.006,0.004,0.003,0.002,0.007,0.141,0.109,0.187,0.170,0.159,0.094,0.054,0.032,0.018,0.015,0.007,0.004,0.002,0.008,0.287,0.215,0.199,0.169,0.102,0.025,0.003,0.000,0.000,0.000,0.820,0.091,0.026,0.015,0.010,0.038
All Vehicles - StL All Vehicles Volume,Origin,69,HARDIN,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),10977,1861,1929,14.0,14.2,22,22,2.289,0.158,0.280,0.184,0.123,0.084,0.054,0.032,0.022,0.016,0.011,0.009,0.006,0.004,0.004,0.002,0.011,0.136,0.114,0.191,0.177,0.154,0.088,0.061,0.027,0.017,0.011,0.008,0.004,0.002,0.010,0.293,0.217,0.187,0.165,0.109,0.026,0.003,0.000,0.000,0.000,0.822,0.091,0.026,0.014,0.010,0.037
All Vehicles - StL All Vehicles Volume,Origin,69,HARDIN,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),2217,2072,2164,17.4,18.0,25,25,2.092,0.114,0.251,0.184,0.141,0.105,0.071,0.039,0.025,0.017,0.012,0.012,0.006,0.006,0.002,0.002,0.013,0.094,0.100,0.149,0.181,0.165,0.109,0.113,0.030,0.021,0.014,0.007,0.004,0.001,0.012,0.229,0.177,0.183,0.209,0.158,0.038,0.005,0.001,0.000,0.000,0.866,0.071,0.019,0.012,0.007,0.025
All Vehicles - StL All Vehicles Volume,Origin,69,HARDIN,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),3231,1940,2006,14.1,14.2,21,20,2.222,0.154,0.287,0.184,0.112,0.079,0.049,0.032,0.027,0.019,0.013,0.010,0.007,0.004,0.005,0.002,0.016,0.142,0.131,0.186,0.174,0.144,0.087,0.049,0.024,0.022,0.011,0.011,0.006,0.002,0.011,0.324,0.217,0.187,0.154,0.097,0.019,0.002,0.000,0.000,0.000,0.805,0.102,0.030,0.015,0.009,0.039
All Vehicles - StL All Vehicles Volume,Origin,69,HARDIN,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),3428,1738,1804,12.6,12.8,21,21,2.566,0.169,0.284,0.188,0.124,0.076,0.051,0.032,0.021,0.015,0.012,0.010,0.005,0.004,0.003,0.002,0.004,0.147,0.107,0.194,0.182,0.162,0.086,0.049,0.027,0.016,0.013,0.007,0.004,0.002,0.004,0.292,0.224,0.198,0.166,0.096,0.021,0.003,0.000,0.000,0.000,0.816,0.091,0.027,0.013,0.011,0.042
All Vehicles - StL All Vehicles Volume,Origin,69,HARDIN,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),11897,2065,2101,17.1,17.0,23,23,2.123,0.146,0.260,0.175,0.124,0.089,0.059,0.037,0.030,0.020,0.015,0.012,0.008,0.005,0.003,0.003,0.014,0.145,0.103,0.173,0.146,0.160,0.102,0.055,0.039,0.024,0.016,0.010,0.008,0.003,0.016,0.282,0.204,0.181,0.171,0.118,0.038,0.005,0.001,0.000,0.000,0.839,0.083,0.026,0.014,0.007,0.031
All Vehicles - StL All Vehicles Volume,Origin,69,HARDIN,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),1612,2314,2332,20.8,20.8,25,25,1.923,0.130,0.248,0.166,0.130,0.095,0.053,0.040,0.034,0.020,0.020,0.011,0.009,0.008,0.004,0.005,0.027,0.110,0.087,0.173,0.154,0.162,0.104,0.059,0.048,0.030,0.017,0.011,0.009,0.005,0.031,0.226,0.210,0.165,0.200,0.137,0.048,0.012,0.001,0.000,0.001,0.867,0.076,0.023,0.008,0.005,0.021
All Vehicles - StL All Vehicles Volume,Origin,69,HARDIN,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),4550,2186,2217,18.2,18.2,23,23,1.963,0.130,0.252,0.177,0.116,0.096,0.063,0.042,0.032,0.024,0.017,0.014,0.009,0.006,0.004,0.004,0.014,0.149,0.092,0.167,0.128,0.164,0.111,0.058,0.042,0.030,0.018,0.012,0.012,0.003,0.014,0.285,0.189,0.176,0.174,0.132,0.041,0.003,0.000,0.000,0.000,0.845,0.085,0.026,0.012,0.008,0.024
All Vehicles - StL All Vehicles Volume,Origin,69,HARDIN,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),3479,2039,2076,16.5,16.5,23,23,2.083,0.144,0.253,0.168,0.134,0.091,0.065,0.039,0.031,0.019,0.014,0.013,0.008,0.005,0.003,0.002,0.011,0.135,0.111,0.166,0.149,0.156,0.110,0.062,0.039,0.021,0.020,0.009,0.005,0.004,0.013,0.276,0.198,0.198,0.174,0.114,0.035,0.004,0.001,0.000,0.000,0.832,0.086,0.024,0.019,0.007,0.032
All Vehicles - StL All Vehicles Volume,Origin,7,BOONE,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),181603,1894,1951,12.8,13.0,20,20,2.031,0.124,0.275,0.220,0.138,0.082,0.050,0.032,0.021,0.015,0.010,0.007,0.006,0.004,0.003,0.002,0.011,0.070,0.127,0.238,0.221,0.197,0.054,0.028,0.017,0.012,0.009,0.007,0.005,0.003,0.012,0.275,0.311,0.220,0.115,0.048,0.022,0.008,0.001,0.000,0.000,0.828,0.091,0.030,0.014,0.008,0.029
All Vehicles - StL All Vehicles Volume,Origin,7,BOONE,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),37541,2038,2099,14.5,14.7,21,21,2.040,0.097,0.249,0.225,0.153,0.092,0.056,0.036,0.024,0.017,0.012,0.009,0.007,0.005,0.003,0.003,0.012,0.053,0.097,0.209,0.240,0.226,0.062,0.036,0.021,0.016,0.011,0.009,0.005,0.003,0.012,0.229,0.299,0.241,0.136,0.059,0.026,0.009,0.001,0.000,0.000,0.835,0.087,0.029,0.013,0.008,0.028
All Vehicles - StL All Vehicles Volume,Origin,7,BOONE,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),55791,1952,2018,13.1,13.3,19,19,2.105,0.121,0.268,0.218,0.137,0.083,0.051,0.033,0.022,0.016,0.011,0.009,0.006,0.005,0.004,0.003,0.013,0.072,0.131,0.243,0.217,0.194,0.053,0.026,0.015,0.011,0.009,0.007,0.005,0.003,0.014,0.289,0.319,0.213,0.106,0.043,0.020,0.009,0.001,0.000,0.000,0.817,0.096,0.031,0.015,0.009,0.032
All Vehicles - StL All Vehicles Volume,Origin,7,BOONE,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),53973,1742,1795,10.8,10.9,18,18,2.010,0.133,0.289,0.229,0.138,0.078,0.046,0.028,0.017,0.012,0.007,0.005,0.004,0.003,0.002,0.002,0.007,0.074,0.137,0.254,0.233,0.190,0.047,0.022,0.012,0.008,0.006,0.004,0.003,0.002,0.008,0.290,0.328,0.220,0.103,0.037,0.015,0.006,0.001,0.000,0.000,0.822,0.094,0.031,0.016,0.009,0.028
All Vehicles - StL All Vehicles Volume,Origin,7,BOONE,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),183604,1864,1924,12.3,12.5,19,19,2.049,0.125,0.276,0.221,0.140,0.082,0.049,0.031,0.021,0.014,0.009,0.007,0.005,0.004,0.003,0.002,0.011,0.070,0.128,0.245,0.222,0.196,0.054,0.027,0.016,0.011,0.008,0.006,0.004,0.002,0.011,0.278,0.317,0.221,0.111,0.045,0.020,0.007,0.001,0.000,0.000,0.822,0.093,0.031,0.015,0.009,0.030
All Vehicles - StL All Vehicles Volume,Origin,7,BOONE,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),41905,2008,2074,14.0,14.2,21,21,2.058,0.095,0.250,0.226,0.158,0.094,0.056,0.036,0.024,0.016,0.011,0.008,0.006,0.004,0.003,0.002,0.011,0.052,0.096,0.208,0.243,0.229,0.064,0.037,0.021,0.015,0.011,0.008,0.004,0.002,0.010,0.226,0.302,0.246,0.136,0.058,0.024,0.007,0.001,0.000,0.000,0.830,0.089,0.030,0.014,0.008,0.029
All Vehicles - StL All Vehicles Volume,Origin,7,BOONE,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),51648,1901,1978,12.2,12.5,18,18,2.175,0.125,0.277,0.217,0.137,0.083,0.050,0.031,0.020,0.014,0.010,0.007,0.006,0.004,0.003,0.003,0.013,0.075,0.136,0.252,0.215,0.190,0.053,0.024,0.012,0.009,0.007,0.006,0.004,0.003,0.014,0.302,0.327,0.211,0.097,0.038,0.017,0.007,0.001,0.000,0.000,0.805,0.100,0.033,0.017,0.010,0.035
All Vehicles - StL All Vehicles Volume,Origin,7,BOONE,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),55999,1684,1738,9.9,10.1,18,18,2.010,0.137,0.297,0.230,0.139,0.077,0.044,0.026,0.016,0.010,0.006,0.004,0.003,0.002,0.002,0.001,0.006,0.074,0.141,0.264,0.237,0.185,0.045,0.020,0.010,0.007,0.004,0.003,0.002,0.001,0.007,0.297,0.338,0.221,0.096,0.031,0.012,0.004,0.001,0.000,0.000,0.818,0.096,0.032,0.017,0.009,0.028
All Vehicles - StL All Vehicles Volume,Origin,7,BOONE,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),166197,1940,1984,13.9,14.0,20,20,1.970,0.124,0.269,0.219,0.134,0.080,0.051,0.034,0.023,0.016,0.012,0.009,0.006,0.005,0.004,0.003,0.011,0.071,0.126,0.227,0.217,0.199,0.053,0.030,0.019,0.014,0.012,0.009,0.006,0.003,0.014,0.269,0.296,0.218,0.124,0.054,0.026,0.011,0.002,0.000,0.000,0.842,0.085,0.026,0.013,0.008,0.026
All Vehicles - StL All Vehicles Volume,Origin,7,BOONE,no,N/A,no,2: Weekend Day (Sa-Su),1: Peak AM (6am-10am),26194,2135,2179,16.2,16.4,22,22,1.975,0.105,0.254,0.220,0.136,0.084,0.054,0.037,0.026,0.019,0.015,0.011,0.009,0.006,0.005,0.003,0.016,0.058,0.104,0.209,0.231,0.213,0.057,0.034,0.021,0.016,0.013,0.012,0.008,0.004,0.020,0.240,0.283,0.227,0.136,0.063,0.033,0.015,0.003,0.000,0.000,0.853,0.079,0.024,0.012,0.007,0.025
All Vehicles - StL All Vehicles Volume,Origin,7,BOONE,no,N/A,no,2: Weekend Day (Sa-Su),2: Mid-Day (10am-3pm),64237,2011,2055,14.3,14.4,20,20,1.962,0.115,0.261,0.220,0.138,0.084,0.053,0.035,0.024,0.017,0.013,0.010,0.007,0.005,0.004,0.003,0.011,0.067,0.120,0.225,0.221,0.202,0.053,0.031,0.020,0.014,0.012,0.010,0.007,0.004,0.014,0.266,0.300,0.220,0.124,0.052,0.025,0.011,0.002,0.000,0.000,0.841,0.087,0.026,0.013,0.008,0.025
All Vehicles - StL All Vehicles Volume,Origin,7,BOONE,no,N/A,no,2: Weekend Day (Sa-Su),3: Peak PM (3pm-7pm),46106,1847,1892,12.7,12.8,20,20,1.976,0.128,0.278,0.225,0.134,0.079,0.049,0.032,0.021,0.015,0.010,0.007,0.006,0.004,0.002,0.002,0.008,0.074,0.132,0.231,0.220,0.198,0.052,0.027,0.017,0.012,0.011,0.008,0.005,0.003,0.010,0.279,0.298,0.218,0.120,0.051,0.024,0.009,0.001,0.000,0.000,0.842,0.085,0.027,0.013,0.007,0.026
All Vehicles - StL All Vehicles Volume,Origin,71,HENDERSON,no,N/A,no,0: All Days (M-Su),0: All Day (12am-12am),16572,1968,2057,13.7,14.1,22,22,2.237,0.115,0.236,0.210,0.155,0.100,0.062,0.036,0.023,0.016,0.013,0.009,0.006,0.004,0.003,0.002,0.010,0.136,0.089,0.129,0.179,0.256,0.106,0.046,0.023,0.010,0.006,0.005,0.004,0.003,0.008,0.276,0.206,0.217,0.179,0.094,0.023,0.004,0.001,0.000,0.000,0.826,0.085,0.029,0.015,0.009,0.036
All Vehicles - StL All Vehicles Volume,Origin,71,HENDERSON,no,N/A,no,0: All Days (M-Su),1: Peak AM (6am-10am),3833,2092,2200,15.4,15.9,24,24,2.230,0.089,0.214,0.212,0.172,0.107,0.070,0.038,0.024,0.018,0.015,0.011,0.008,0.005,0.003,0.003,0.011,0.104,0.071,0.113,0.179,0.289,0.120,0.058,0.027,0.009,0.007,0.005,0.005,0.003,0.010,0.225,0.199,0.233,0.199,0.111,0.028,0.004,0.001,0.000,0.000,0.834,0.082,0.028,0.015,0.007,0.034
All Vehicles - StL All Vehicles Volume,Origin,71,HENDERSON,no,N/A,no,0: All Days (M-Su),2: Mid-Day (10am-3pm),4978,1996,2113,13.8,14.3,21,21,2.366,0.120,0.238,0.200,0.148,0.098,0.061,0.039,0.023,0.018,0.013,0.011,0.006,0.004,0.004,0.003,0.014,0.143,0.095,0.144,0.174,0.228,0.103,0.046,0.024,0.012,0.008,0.006,0.004,0.003,0.010,0.295,0.215,0.208,0.169,0.087,0.021,0.004,0.001,0.000,0.000,0.803,0.090,0.034,0.019,0.011,0.043
All Vehicles - StL All Vehicles Volume,Origin,71,HENDERSON,no,N/A,no,0: All Days (M-Su),3: Peak PM (3pm-7pm),4827,1866,1938,12.6,12.9,21,21,2.195,0.124,0.248,0.216,0.152,0.093,0.057,0.034,0.023,0.015,0.012,0.008,0.005,0.003,0.002,0.002,0.006,0.144,0.095,0.136,0.187,0.253,0.096,0.034,0.024,0.009,0.006,0.005,0.004,0.002,0.005,0.287,0.213,0.218,0.169,0.086,0.022,0.004,0.001,0.000,0.000,0.827,0.086,0.029,0.015,0.009,0.034
All Vehicles - StL All Vehicles Volume,Origin,71,HENDERSON,no,N/A,no,1: Weekday (M-Th),0: All Day (12am-12am),16391,1945,2040,13.6,14.1,22,22,2.265,0.115,0.235,0.210,0.157,0.101,0.063,0.036,0.022,0.016,0.012,0.008,0.006,0.004,0.003,0.003,0.009,0.138,0.085,0.128,0.179,0.258,0.107,0.047,0.023,0.010,0.006,0.005,0.004,0.003,0.007,0.271,0.201,0.222,0.183,0.095,0.023,0.004,0.001,0.000,0.000,0.827,0.084,0.028,0.015,0.009,0.037
All Vehicles - StL All Vehicles Volume,Origin,71,HENDERSON,no,N/A,no,1: Weekday (M-Th),1: Peak AM (6am-10am),4140,2057,2172,15.1,15.7,24,24,2.237,0.089,0.210,0.213,0.179,0.109,0.071,0.038,0.023,0.016,0.013,0.009,0.008,0.005,0.003,0.004,0.010,0.100,0.070,0.113,0.178,0.296,0.121,0.061,0.027,0.008,0.006,0.004,0.005,0.003,0.008,0.217,0.200,0.236,0.204,0.111,0.027,0.004,0.001,0.000,0.000,0.837,0.082,0.025,0.014,0.007,0.035
All Vehicles - StL All Vehicles Volume,Origin,71,HENDERSON,no,N/A,no,1: Weekday (M-Th),2: Mid-Day (10am-3pm),4534,1976,2107,13.6,14.3,21,21,2.485,0.122,0.241,0.198,0.147,0.098,0.062,0.039,0.021,0.019,0.013,0.010,0.006,0.004,0.003,0.003,0.014,0.148,0.091,0.148,0.167,0.226,0.105,0.049,0.024,0.011,0.008,0.006,0.005,0.003,0.009,0.295,0.213,0.208,0.171,0.087,0.021,0.004,0.001,0.000,0.000,0.800,0.090,0.033,0.019,0.011,0.047
All Vehicles - StL All Vehicles Volume,Origin,71,HENDERSON,no,N/A,no,1: Weekday (M-Th),3: Peak PM (3pm-7pm),4835,1811,1882,12.0,12.4,21,21,2.176,0.132,0.251,0.220,0.147,0.090,0.056,0.032,0.022,0.014,0.012,0.007,0.005,0.003,0.002,0.002,0.005,0.155,0.094,0.135,0.190,0.254,0.089,0.031,0.024,0.009,0.005,0.005,0.003,0.002,0.004,0.294,0.210,0.223,0.167,0.081,0.021,0.003,0.001,0.000,0.000,0.827,0.085,0.028,0.016,0.010,0.034
All Vehicles - StL All Vehicles Volume,Origin,71,HENDERSON,no,N/A,no,2: Weekend Day (Sa-Su),0: All Day (12am-12am),16011,2005,2082,14.0,14.3,22,21,2.191,0.117,0.238,0.208,0.151,0.096,0.061,0.035,0.024,0.017,0.013,0.012,0.006,0.005,0.003,0.002,0.012,0.136,0.097,0.137,0.177,0.243,0.102,0.044,0.023,0.011,0.007,0.006,0.004,0.003,0.010,0.291,0.214,0.203,0.170,0.092,0.024,0.005,0.001,0.000,0.000,0.820,0.088,0.033,0.016,0.010,0.033
