,GEOID,exposure1,exposure2,exposure3,exposure4
36,17093890600,0.005035694837450719,0.006335443332328526,0.010848070099676662,0.012470555626438612
37,17197881109,0.0011575301533793354,0.002008037431873082,0.003426870213993113,0.003797873402093446
38,17143000200,0.0001232523408421808,3.842246216662379e-05,0.00010124821517793132,0.00032925380700845296
39,17143004102,0.0013217647754400076,0.0003660260883855969,0.0010751666029076247,0.0036068402315865746
40,17143003900,0.00804940290132193,0.0022701461629265757,0.0065762179643193185,0.021376070984476383
41,17143004101,0.006874234226232503,0.0019229889906557695,0.005607678439852608,0.01841281597650321
42,17143004802,0.0013660555596114233,0.00037938515693931266,0.0011118118799713318,0.0037159208418046106
43,17143003402,0.003016672473432994,0.0008374162154245472,0.002456696335132804,0.008163886510601903
44,17143003601,0.0008310178786505032,0.00023213707637926635,0.0006765130924917454,0.002262404200916028
45,17143003102,0.005546806827229986,0.0015485263144923466,0.004522917828505551,0.014894801330994765
46,17143003401,0.02008064599028716,0.005724062194902938,0.01643947317754476,0.052682093984168885
47,17143003300,0.0015004379247016226,0.00041650401904493755,0.001221213508744023,0.004079707513713431
48,17143004801,0.0021028620349775808,0.00058455836638707,0.0017125225489316735,0.005694428868393539
49,17143004901,0.0009263185237195506,0.0002592845509697052,0.0007545299952192325,0.0025124277002819655
50,17143000500,0.00010275680828134602,3.289606293932673e-05,8.463248158241667e-05,0.0002724908065172415
51,17143002900,0.001912773371301888,0.0005311379737760797,0.0015572877916771883,0.005188755122412232
52,17143004000,0.0012923157486289002,0.0003612800800020976,0.0010529631216986523,0.0034945124062187036
53,17143002200,0.0018070340513700576,0.0005035684190204502,0.0014720625807142724,0.004886697388801214
54,17143004902,0.002272861939969239,0.0006325008814791367,0.001851435683947488,0.006145155558176482
55,17143004500,0.002851581474941636,0.0007908290344854404,0.0023217797091456952,0.007726442300837129
56,17143003800,0.000691847049148909,0.00019473166649058683,0.0005637556254795282,0.0018756600123184487
57,17143000100,3.701635031276913e-05,1.5185040604833833e-05,3.134571469295168e-05,9.024436679186725e-05
58,17143000300,0.00016008503463615565,4.8471957464636164e-05,0.00013116785567802031,0.0004301906151358298
59,17115002300,7.190973245420819e-06,0.00042108322224758556,0.0007073613422512836,0.003459033425462431
60,17143003200,0.004019996623792641,0.0011147797727340902,0.00327363315056273,0.010877668605736789
61,17143004300,0.0003182019122098617,9.201635207682971e-05,0.00025982488349708953,0.0008594531457307324
62,17119400200,0.0001439090766429768,0.00025462581416014894,0.0005648259956167636,0.0015384427129981866
63,17119400600,5.814149889011305e-05,9.95131647905352e-05,0.00021563701023944107,0.0005811178688106243
64,17119400801,9.070507399353953e-05,0.00015818766586961849,0.00034696139010630914,0.0009380514382902167
65,17119400802,0.00047697510337607396,0.0008533228121589007,0.0018999570247682038,0.005147811129598424
66,17143000600,0.0005289977602976184,0.00014971571914055304,0.0004311601503222738,0.0014351636504661455
67,17143000900,0.0007939857847213802,0.00022079119066112284,0.0006457850344621467,0.0021727968294808133
68,17143001200,0.000606603067624082,0.00017139924776252003,0.0004944694348429491,0.0016428433589908667
69,17073030202,7.190973245420819e-06,0.0002692572811721599,0.0004564667906842803,0.0015249609419822631
70,17073030800,7.190973245420819e-06,0.0003800120182988601,0.0006457974766105209,0.0021596041509821797
71,17073030203,7.190973245420819e-06,0.0008563879867045302,0.0014622332114931197,0.004915490689438131
72,17073030600,7.190973245420819e-06,0.00023563254895301537,0.00040008228538645883,0.0013459999159536585
