,GEOID,ALAND
197,17031819000,6276512
198,17031824506,6536652
199,17031823903,5568053
200,17031815701,1882610
201,17031802900,4547460
202,17031031700,477478
203,17031610400,163180
204,17031822802,1305003
205,17031050600,332317
206,17031050500,652578
207,17031823904,3707969
208,17031820103,3054182
209,17031805801,1871859
210,17031071600,162169
211,17031828505,12386601
212,17031830004,8423143
213,17031828503,9156091
214,17031802002,3239431
215,17031826202,2167687
216,17031671400,495626
217,17031490400,237759
218,17031801605,4718450
219,17031800700,3984242
220,17031062300,163311
221,17031823102,3646338
222,17031630400,658248
223,17031818401,6836877
224,17031827902,3873524
225,17031829902,12826598
226,17031010100,379751
227,17111870101,157217946
228,17035972400,303011469
229,17035972500,295279528
230,17035972600,297698983
231,17119401904,2333611
232,17089853300,1786001
233,17089853400,1573595
234,17089853500,1197763
235,17089853600,1449553
236,17089853900,2911161
237,17089854001,4555822
238,17089854100,1791815
239,17089854200,1066752
240,17143002702,2791336
241,17143002701,3040420
242,17111871004,110765607
243,17111870811,18168013
244,17111870902,80005153
245,17111870808,7892982
246,17111870809,20720820
247,17111871003,86273897
248,17111870401,87741835
249,17111870604,11488409
250,17111871306,13638537
251,17111870703,28164307
252,17111870702,22875236
253,17111871301,6626553
254,17111870810,19497839
255,17111871104,19987421
256,17111870200,271638094
257,17111871305,10157921
258,17111870102,41510461
259,17111870402,3767667
260,17111870500,31802760
261,17111870605,6704510
262,17111871205,2499882
263,17111870606,3884202
264,17111871307,5237059
265,17111870803,40998284
266,17111871304,7053109
267,17199020202,14263867
268,17011965600,352753625
269,17111871402,22569724
270,17111870812,6461643
271,17201001500,3542063
272,17201001600,2190230
273,17201001700,1477556
274,17201001800,3791547
275,17201001900,2443884
276,17115001802,3205032
277,17115001900,1275095
278,17115001300,2060937
279,17115001400,2756584
280,17115001600,1274046
281,17115001700,4663385
282,17011964800,538630799
283,17011965100,45638594
284,17011964900,186976762
285,17011965400,27569428
286,17011965300,12525394
287,17011964700,361091184
288,17011965500,426475503
289,17011965200,14966265
290,17011965000,284307949
291,17031301200,482205
292,17065973100,26397694
293,17065973200,559659227
294,17197880312,12119082
295,17115000900,1957482
296,17115001000,2288222
297,17029000300,12425424
298,17029000400,31438517
299,17029000500,25364728
300,17029000700,13803014
301,17029000800,1968523
302,17029001000,7434166
303,17029000900,13825638
304,17113001302,727814
305,17113005602,343198843
306,17113005202,220184464
307,17113005400,352870053
308,17113000105,40705728
309,17115000400,973494
310,17115000600,1212594
311,17113000104,16202265
312,17113005502,333944071
313,17113005700,445121339
314,17113005601,227674857
315,17113000400,1179923
316,17113001301,985688
317,17113005501,45491351
318,17113000200,1033562
