GEOID,Area_Name,percent2,income2,percent3,income3,percent4,income4,percent5,income5,percent6,income6,percent7,income7
1400000US17019010700,"Census Tract 107, Champaign County, Illinois",44.9,81250,25.2,90350,19.1,102778,8.6,105313,2.3,132554,0,-
1400000US17019010800,"Census Tract 108, Champaign County, Illinois",54,75500,17.7,83295,18.9,74653,8.3,117917,0,-,1.1,106477
1400000US17019010900,"Census Tract 109, Champaign County, Illinois",47.1,79808,23.1,84917,15,104583,10.8,106250,3.7,120909,0.3,95625
1400000US17019011000,"Census Tract 110, Champaign County, Illinois",65.4,110536,22.9,122778,11.7,-,0,-,0,-,0,-
1400000US17019011100,"Census Tract 111, Champaign County, Illinois",92.2,-,0,-,7.8,-,0,-,0,-,0,-
1400000US17021958100,"Census Tract 9581, Christian County, Illinois",54,54750,17.4,69583,23.3,96250,3.7,78542,1.5,132917,0,-
1400000US17021958200,"Census Tract 9582, Christian County, Illinois",52.7,68194,18.5,63523,17.7,81042,7.3,68611,2.9,-,0.8,-
1400000US17021958300,"Census Tract 9583, Christian County, Illinois",59.5,58614,15.5,54423,14.1,65743,10.9,-,0,-,0,-
1400000US17021958400,"Census Tract 9584, Christian County, Illinois",59.5,61360,19.6,57344,11.6,56424,6,-,1.5,-,1.8,-
1400000US17021958500,"Census Tract 9585, Christian County, Illinois",58.3,56635,26.5,-,8.3,48261,6.9,-,0,-,0,-
1400000US17021958600,"Census Tract 9586, Christian County, Illinois",55.4,73618,15.8,109375,14.5,96625,10.5,79519,3.4,-,0.5,-
1400000US17021958700,"Census Tract 9587, Christian County, Illinois",52.7,59219,21.8,60690,15,88516,9.5,90972,0.4,-,0.5,-
1400000US17021958800,"Census Tract 9588, Christian County, Illinois",63.2,53256,12.9,53500,11.5,73125,10.8,61739,1.6,-,0,-
1400000US17021958900,"Census Tract 9589, Christian County, Illinois",50.5,36629,22.3,51161,23.8,51184,1.3,-,0.8,-,1.3,-
1400000US17021959000,"Census Tract 9590, Christian County, Illinois",58.9,62353,16.1,75000,18.8,86042,5.1,132813,0.7,-,0.3,-
1400000US17023060100,"Census Tract 601, Clark County, Illinois",55.4,72500,15.3,-,19.2,87000,6,69306,0,-,4,-
1400000US17023060200,"Census Tract 602, Clark County, Illinois",50.3,55636,25.6,52744,17.7,85769,5.6,-,0.6,-,0.2,-
1400000US17023060300,"Census Tract 603, Clark County, Illinois",55.3,54906,22.9,52500,10.7,62321,5.5,74750,5.6,58594,0,-
1400000US17023060400,"Census Tract 604, Clark County, Illinois",53.1,72321,13.7,61000,12.7,68750,19.6,62368,0.9,-,0,-
1400000US17025971900,"Census Tract 9719, Clay County, Illinois",68.1,58750,9.4,77109,10.8,108194,10.9,65682,0.8,-,0,-
1400000US17025972000,"Census Tract 9720, Clay County, Illinois",66.5,60598,18.8,54474,5.3,53438,6.7,51500,1,120000,1.8,-
1400000US17025972100,"Census Tract 9721, Clay County, Illinois",51.3,54893,26.2,42219,7.4,66313,15.1,95201,0,-,0,-
1400000US17025972200,"Census Tract 9722, Clay County, Illinois",59,53023,12.6,69531,17.3,81875,6.3,69500,3.4,66944,1.5,78194
1400000US17027900100,"Census Tract 9001, Clinton County, Illinois",50.8,74643,18.3,108510,21.4,117639,8.2,135438,1,108438,0.2,-
1400000US17027900200,"Census Tract 9002, Clinton County, Illinois",46.2,73500,19.6,107625,16.3,113438,8.8,132500,5.3,123173,3.8,-
1400000US17027900300,"Census Tract 9003, Clinton County, Illinois",46.8,62321,19.7,96641,22.2,99000,9.8,-,1.1,-,0.3,-
1400000US17027900401,"Census Tract 9004.01, Clinton County, Illinois",63.5,50278,12.5,57292,12.5,66964,7.2,43250,1.1,-,3.2,-
1400000US17027900402,"Census Tract 9004.02, Clinton County, Illinois",56.3,47788,17.6,64394,14.2,97986,11.2,113470,0.1,-,0.6,-
1400000US17027900500,"Census Tract 9005, Clinton County, Illinois",52.6,56143,15.7,73750,20.8,66250,7.3,-,3.2,65625,0.5,-
1400000US17027900601,"Census Tract 9006.01, Clinton County, Illinois",47.1,81250,18.5,106250,20,125500,10,150625,3.6,127500,0.9,-
1400000US17027900602,"Census Tract 9006.02, Clinton County, Illinois",44.3,100104,21.4,66250,18.4,86563,12,104375,3.3,19632,0.6,-
1400000US17029000100,"Census Tract 1, Coles County, Illinois",58,57250,17.3,58542,18.6,78750,5.7,64712,0.1,-,0.4,-
1400000US17029000200,"Census Tract 2, Coles County, Illinois",55.7,74100,18.4,82757,16.8,87960,7.4,-,0.7,-,1,46250
1400000US17029000300,"Census Tract 3, Coles County, Illinois",49.2,53925,24.3,62019,14.6,71111,9.1,-,1.7,-,1,-
1400000US17029000400,"Census Tract 4, Coles County, Illinois",54,37014,16.9,70700,23.8,28607,3.4,44231,1.1,-,0.8,-
1400000US17029000500,"Census Tract 5, Coles County, Illinois",60.4,48750,19.2,28145,10.6,53512,0.9,-,8.2,39205,0.7,-
1400000US17029000600,"Census Tract 6, Coles County, Illinois",54.7,71833,27,79091,7.9,98438,10.4,126667,0,-,0,-
1400000US17029000700,"Census Tract 7, Coles County, Illinois",59,48333,24.7,53971,11.6,77024,3.4,-,1.3,-,0,-
1400000US17029000800,"Census Tract 8, Coles County, Illinois",44.9,66458,24.1,-,21.5,46250,7.6,-,0,-,1.9,-
1400000US17029000900,"Census Tract 9, Coles County, Illinois",60.4,95776,18.9,112969,12.9,126326,6.5,186806,1.3,-,0,-
1400000US17029001000,"Census Tract 10, Coles County, Illinois",58.6,49737,21.2,74318,13.4,108295,6.9,125489,0,-,0,-
1400000US17029001100,"Census Tract 11, Coles County, Illinois",56.8,39031,21.6,42344,16.1,-,3.8,51786,0,-,1.8,-
1400000US17029001200,"Census Tract 12, Coles County, Illinois",55.3,52589,14.1,38646,23,88550,6.3,62222,0.8,-,0.6,-
1400000US17031010100,"Census Tract 101, Cook County, Illinois",59.5,66189,13.6,-,19.4,-,3.2,-,4.3,-,0,-
1400000US17031010201,"Census Tract 102.01, Cook County, Illinois",53.7,50246,12.3,-,13.2,70038,9.5,-,6,-,5.3,-
1400000US17031010202,"Census Tract 102.02, Cook County, Illinois",52.4,70278,4.2,-,23.7,38438,9.7,45000,5.3,-,4.7,-
1400000US17031010300,"Census Tract 103, Cook County, Illinois",60.3,71806,13.6,-,22,-,4,-,0,-,0,-
1400000US17031010400,"Census Tract 104, Cook County, Illinois",57.6,48438,14.2,107137,21.5,160357,4.4,-,1.2,-,1.1,-
1400000US17031010501,"Census Tract 105.01, Cook County, Illinois",59.8,-,26.2,-,11.7,-,2.3,-,0,-,0,-
1400000US17031010502,"Census Tract 105.02, Cook County, Illinois",66,37093,20.1,26103,8.1,-,2.3,-,3.6,-,0,-
1400000US17031010503,"Census Tract 105.03, Cook County, Illinois",76.1,44167,14.7,-,0,-,9.2,-,0,-,0,-
1400000US17031010600,"Census Tract 106, Cook County, Illinois",48.7,74286,26.8,98393,15.1,151324,5.2,88259,4.2,-,0,-
1400000US17031010701,"Census Tract 107.01, Cook County, Illinois",47.3,69643,20.7,107750,16.5,30592,9.9,-,0.8,-,4.9,-
1400000US17031010702,"Census Tract 107.02, Cook County, Illinois",36.5,59583,17.2,52031,15.3,44250,24.2,38586,1.1,-,5.7,-
1400000US17031020100,"Census Tract 201, Cook County, Illinois",36.4,71016,13.9,46932,23.9,48906,23.5,70197,2.3,-,0,-
1400000US17031020200,"Census Tract 202, Cook County, Illinois",41.6,72656,20.1,65720,21.6,90673,8.9,116625,2.3,88750,5.5,122269
1400000US17031020301,"Census Tract 203.01, Cook County, Illinois",44.3,69279,11.2,70156,13.4,135577,13.9,54355,8.7,-,8.5,102000
1400000US17031020302,"Census Tract 203.02, Cook County, Illinois",40.2,105112,19.7,54609,19.2,120139,11.6,-,2.3,-,7,-
1400000US17031020400,"Census Tract 204, Cook County, Illinois",44.6,56136,19.4,101250,25.4,90417,7.2,-,2.1,-,1.3,-
1400000US17031020500,"Census Tract 205, Cook County, Illinois",43,42995,22.8,57128,16.7,54669,6.1,48667,5.4,-,5.9,46225
1400000US17031020601,"Census Tract 206.01, Cook County, Illinois",42.7,55439,18.3,42083,15.9,38482,3.5,148558,10.7,"2,500-",8.9,-
1400000US17031020602,"Census Tract 206.02, Cook County, Illinois",34.7,44750,23.6,-,16.3,48333,10.2,-,7.5,58882,7.7,43750
1400000US17031020701,"Census Tract 207.01, Cook County, Illinois",36.9,108542,30,78750,19.2,205313,8.8,-,2.4,-,2.6,-
1400000US17031020702,"Census Tract 207.02, Cook County, Illinois",36.5,38750,24.3,50254,15.9,106196,10.8,-,5.9,-,6.6,51813
