,FIPS,inflow_exposure1,inflow_exposure2,inflow_exposure3,inflow_exposure4
0,17031670500,463.1993313151155,135365.3649446067,327165.13585512026,763698.8013616765
0,17031670600,510.0908127611553,154209.45508921225,374274.96676450706,872417.1847213234
0,17031670700,946.3225043465627,239797.3783023154,575257.7955405886,1328226.9414798694
0,17031670800,1344.5119522028767,326934.0029492948,781021.7398690961,1801752.0238748675
0,17031670900,627.4622888958933,168447.07264358437,405735.3939787456,939934.3202566444
0,17031671100,176.97290277578276,60631.131577196975,148193.7026543612,347383.9363281281
0,17031671200,466.6552784563719,143107.1686089551,346773.97753252764,807693.9719843174
0,17031671300,1482.0579814953364,380120.1693603717,912676.6401216907,2108810.8741929857
0,17031671400,1138.976659864885,299056.0399148114,719229.8758502697,1664097.1130266085
0,17031671500,2245.4552758627015,552358.1062035119,1322178.177889415,3047312.484230336
0,17031671600,1403.3193781287973,338126.71154381643,808089.1519282303,1865027.4762048163
0,17031671800,892.3018013333892,236335.6888514564,568730.9252291758,1316535.945906397
0,17031671900,543.8610294794538,160207.42085091793,388218.85879679036,903766.9577853978
0,17031672000,10346.285097353219,2227523.3138169656,5275163.1081343405,12049704.41804538
0,17031680500,971.0942371066243,251183.91244535428,603461.3476564083,1395034.973647837
0,17031680600,281.09607319560104,88481.0038296523,214271.98545862918,499057.5208562911
0,17031680900,7993.452362070017,1914188.4732292462,4564146.652419932,10501040.859750926
0,17031681000,4183.9195711904085,963297.7203718433,2294044.376926253,5264758.43705559
0,17031681100,1870.788328673363,478132.0630676243,1147715.0637676907,2651334.3184961
0,17031681200,2068.6681865545575,529269.9038299922,1270564.2816568867,2935312.743058812
0,17031681300,2528.49834581928,616580.6905275428,1474940.2754984684,3397550.5522014676
0,17031681400,4845.484418520292,1091298.6310200542,2594220.615558422,5944745.944116196
0,17031690300,5555.338463167031,1371106.876739371,3280038.1025183,7563186.020112806
0,17031690400,6230.1449325699205,1465156.5680328282,3495075.697585031,8032347.13954303
0,17031690500,179.818201120985,60001.51378354192,146448.55281492186,342908.27142984583
0,17031690900,15712.22384679853,3432029.2821107726,8134185.565898116,18604440.551063467
0,17031691000,8490.763205002011,1848865.4715343863,4382696.453372637,10019307.757556014
0,17031691100,4717.673679187725,1091903.3132266107,2599523.181506261,5974260.8028358035
0,17031691200,5379.113432481856,1281778.3789773602,3058667.0648406176,7032468.140342018
0,17031691300,8881.997990144464,1881548.4574898335,4449550.642513022,10151711.999225587
0,17031691400,9104.133672905076,1966248.386963344,4657677.948425896,10641649.298535958
0,17031691500,2100.2099799285347,530432.7703689721,1272166.889501608,2936756.466234652
0,17031700100,17296.895106188218,3541705.966703973,8350092.842444476,19001764.218718864
0,17031700200,63271.64414763739,12579762.490626123,29541753.795375682,67078164.91328319
0,17031700301,80028.8681814801,15710394.249161163,36861119.74472586,83572078.05504279
0,17031700302,74370.90129458485,14067458.590454105,32905852.349785104,74414463.48091881
0,17031700401,81987.25336319553,15706252.208978785,36787200.63027476,83250500.38931774
0,17031700402,44837.430995894305,8816024.721972182,20699019.45333424,46962793.039973766
0,17031700501,146225.22729066882,27469686.374334726,64218808.50559659,145072964.5685233
0,17031700502,33869.6049354557,6742137.4889196195,15851811.369064456,35989453.42101617
0,17031710100,798.1689093980203,231559.1725579302,560587.9442244488,1304037.3860643678
0,17031710200,25172.551601973355,5419804.0056443615,12833398.542133732,29315537.851838883
0,17031710300,1104.4913172213671,296508.58959998185,714194.7390311818,1654516.9143302538
0,17031710400,34751.86032660475,7138589.201363541,16835180.546203297,38320217.88513485
0,17031710500,16854.59402490899,3552068.4695536136,8396232.290150734,19148751.53479522
0,17031710600,2058.605083409699,523676.1422607366,1256616.2095142978,2902102.0245587626
0,17031710700,7331.995370117759,1729571.7275132786,4122652.1518654544,9490588.515194187
0,17031710800,20511.817126064525,4384305.2143890625,10408845.626440784,23766425.397647068
0,17031710900,6581.443875283459,1438911.661345732,3412082.8864396396,7802639.62941035
0,17031711000,9066.719028685753,1972423.344108021,4675212.26037214,10687307.408244729
0,17031711100,8419.521371698385,1874964.2267568451,4452541.64844633,10195418.376533939
0,17031711200,24997.10989566755,5108261.090949706,12038200.393609874,27400700.857664533
0,17031711300,2346.732600103561,539423.6224652748,1282431.493537028,2944163.346945613
0,17031711400,5058.322931751958,1148680.480255309,2732475.212156034,6265104.868052518
0,17031711500,2797.7704365212835,727527.0711580624,1746660.1716901166,4036475.0131468647
0,17031720100,41635.989910158525,8083111.786292171,18962000.942698568,42966594.24106725
0,17031720200,64671.49226913403,12384474.162848957,29007202.29451399,65643884.38223287
0,17031720300,65073.06168088214,12384138.978780545,28995204.845844146,65591338.88566508
0,17031720400,21193.208298252746,4232647.990509824,9956104.853233695,22612000.344222225
0,17031720500,17024.84808696781,3413095.3655170985,8031193.191817058,18245732.50564779
0,17031720600,7996.744615289669,1682823.1333712118,3977270.779574488,9069710.706479274
0,17031720700,39662.10842618292,7843636.541131099,18422801.615814876,41811306.12871944
0,17031730100,4698.124897475531,1066130.1507999816,2535958.6907145353,5814245.297487807
0,17031730201,40650.10456207671,8287826.498607566,19522669.088370536,44398462.26240011
0,17031730202,12034.009665843914,2543016.367826035,6010189.095739651,13706557.315929107
0,17031730300,928.1573275463668,228419.298464522,546785.0333276546,1260246.9924792636
0,17031730400,20562.730677424774,4205444.654453561,9911231.717720352,22548540.263026897
0,17031730500,24303.007998123794,4934999.663447263,11622725.44907954,26427159.60512171
0,17031730600,19311.46678471929,3943125.982816618,9294115.781008488,21145404.90715439
0,17031730700,8176.092015947083,1743110.892653289,4124476.500690611,9414501.215616439
0,17031740100,62463.59072779554,11794153.881034411,27587405.592903346,62357771.648799464
0,17031740200,374168.28183776105,67682945.61226247,157637221.60403556,354989276.75014544
0,17031740300,203548.23013522776,37054685.38497876,86372808.66800408,194617969.4158718
0,17031740400,175003.7471919761,32535790.127233375,75991991.01609173,171562317.09613085
0,17031750100,21574.795635477385,4560413.797460451,10779372.291426757,24584846.39066262
0,17031750200,50377.09203278394,9684658.59083866,22697386.893358734,51388636.99402499
0,17031750300,35193.53118705438,6789390.113045944,15917332.274756627,36048621.07980962
0,17031750400,49707.149334021204,9496853.911857458,22238776.58453835,50317880.95983457
0,17031750500,117320.33517109169,22278245.197719216,52148875.79721464,117930205.7119036
0,17031750600,15091.94735134451,3147260.8107850985,7426815.20427108,16916592.99788983
0,17031760801,73632.58153777925,15683926.321274456,37105576.869668275,84778550.31183958
0,17031760802,17151.138441318475,3582483.861401264,8461422.840954784,19284493.15730241
0,17031760803,88354.72198715944,18587205.894557644,43899959.06035489,100158781.11272548
0,17031770201,74111.23820733294,16247338.470508624,38385303.3793598,88354351.89473435
0,17031770202,42461.51673419767,9350004.61365474,22152348.28362851,50799997.85934974
0,17031770300,84437.61715574421,18104346.80209007,42726695.8073518,97990324.43415344
0,17031770400,33640.311826671845,7375201.176059181,17471293.046531532,40039717.543454215
0,17031770500,12071.302168135306,2839773.813810871,6759944.517079956,15584556.26974079
0,17031770601,11853.137270033298,2836451.561979164,6774354.006669803,15587178.43737825
0,17031770602,21784.718595218088,5023552.895654365,11958530.157323785,27464354.988486074
0,17031770700,60133.13585299912,11631192.922879059,27271089.114836715,61790693.7853786
0,17031770800,35735.46945457844,7862269.439402021,18624606.4372196,42712274.62531411
0,17031770901,20474.42050392272,4810604.418575176,11464170.046976766,26380714.045482036
0,17031770902,10425.210372528432,2588765.424672188,6192891.751941031,14309088.558512434
0,17031800100,2714.105442575868,684072.9031184763,1643772.8859337633,3787036.916294758
0,17031800200,20772.209186651347,4696094.619426014,11186196.754662624,25613652.482786037
0,17031800300,7983.2158330952225,1934783.5659320918,4629614.653757635,10658072.250274781
0,17031800400,6192.586475196565,1483079.2532559368,3542210.1061199955,8130429.232382351
0,17031800500,19114.90441932311,4216252.270301846,10010137.794560619,22885930.063713957
0,17031800600,3184.978024751146,774636.0254063446,1854331.6868958094,4267278.753036663
0,17031800700,24842.080866216922,5582789.516001821,13275572.780066498,30414854.667223334
0,17031800800,4537.574753746201,1168669.950670946,2809879.570736721,6487619.169539434
0,17031800900,25775.520261079306,5813224.9012408815,13853030.439137392,31680118.167267047
0,17031801000,42755.04409226466,9444268.661292091,22432017.197720565,51303370.67707516
0,17031801100,17039.124882180025,3727300.5060084257,8846236.197109086,20202090.239783764
0,17031801200,12311.013023011934,2742086.202185337,6515535.645439644,14915315.179378437
0,17031801300,10483.472315702313,2328683.170033021,5535958.16455426,12648459.717834465
0,17031801400,13418.518818005801,3216121.623757797,7687605.810654567,17666180.791528102
0,17031801500,47496.87207692539,10278137.337982714,24419622.309924413,55627845.74088999
0,17031801601,26839.912691922196,6040606.580257283,14435609.850013796,32920649.177209087
0,17031801603,27049.607694177037,6399294.6878137365,15285465.833291475,35131508.03143505
0,17031801605,34687.6218895281,7899114.076486977,18850044.636975855,43105473.77699937
0,17031801606,25624.643139868604,5887315.285155823,14048226.388244545,32152871.060019102
0,17031801607,39105.11122778557,8853183.660324056,21106672.96294109,48287283.358823776
0,17031801608,48650.27979604399,11034203.434160378,26310757.44374392,60173501.45421805
0,17031801701,10380.798982275846,2557239.4973659334,6139271.106246958,14114921.639069585
0,17031801702,18242.940107763763,4324569.631324868,10361346.740138076,23746752.546028353
0,17031801800,26216.672322648436,5949850.515506648,14172191.980126064,32453389.52853179
0,17031801901,22211.300525810148,5339882.536449702,12809084.067816352,29364459.45207828
0,17031801902,6269.198351057512,1612581.0968204297,3888001.8863946362,8955004.970217427
0,17031802002,22715.615601186844,5336849.308189621,12740123.50680967,29263599.70213612
0,17031802003,8730.391807413915,2188433.554771065,5248019.817095248,12106587.882264538
0,17031802004,49012.00031553619,11127744.042525608,26479325.95146841,60728680.097432025
0,17031802100,8600.681082046605,2195885.8655761005,5288791.934461701,12174495.772455502
0,17031802200,15642.118967880931,3734877.823501218,8944236.900012214,20528099.2513202
0,17031802300,29667.767640915063,6906774.118355031,16524546.944493027,37825285.75226798
0,17031802402,47725.56505087343,10829436.418768905,25822031.845634494,59102494.73645039
0,17031802403,3707.2721716016285,1066351.9231924939,2603773.124486177,6006940.215417886
0,17031802404,115085.03156318203,24931446.415041335,59840774.1521985,135967476.40806636
0,17031802503,89216.1122330604,19578697.879175764,46531095.98880885,106464505.9105146
0,17031802504,66669.9329756646,14566866.58788741,34633182.6128634,79021597.24442907
0,17031802505,110269.27673410451,23774177.997857515,56608015.11469518,128709650.61418831
0,17031802506,10004.328780499018,2495153.085214163,6014184.333529589,13800221.727820443
0,17031802605,64700.80903169659,14447150.63629515,34415938.28973473,78703259.63531365
0,17031802607,652.9096577497843,215751.47722102492,526503.1287477324,1232868.0387567268
0,17031802608,41609.596365882884,9544606.647567505,22755907.93660807,52195149.277189784
0,17031802609,94847.02029445895,20526324.81073285,48711823.39090552,111264781.67959343
0,17031802610,1924.07361225767,563182.8847878546,1367837.8214168472,3175516.2554506976
0,17031802701,41383.224529162035,9481517.081458881,22590326.130352914,51839877.98477046
0,17031802702,17597.546840213778,4177877.633165028,9944203.755034281,22970849.714003317
0,17031802801,23277.675815377916,5540603.104216371,13256797.340908412,30440057.66534728
0,17031802802,34508.643295056136,7809244.210151655,18557062.935683962,42617951.94599124
0,17031802900,25955.80507522652,5967493.9597562,14221158.590179913,32624638.904938392
0,17031803005,8505.87215871348,2089618.9286641162,4996114.928928529,11539039.982606469
0,17031803007,37846.42767743582,8765384.042013114,20983959.10453265,47997265.38380085
0,17031803008,26367.026340556156,6329686.672552461,15159858.057818364,34827751.92125014
0,17031803010,24738.89391392487,5857223.686901677,14097819.822878335,32173341.887011934
0,17031803012,6164.268491793351,1673860.4150251946,4063973.0617483025,9363833.868912492
0,17031803013,44013.024227402246,10220793.543016395,24470399.82887936,56000868.76776283
0,17031803014,15646.366706942688,3804946.2333014105,9140597.435463388,20976471.845464077
0,17031803015,13123.279239143572,3255927.545144183,7841007.256016457,17998804.408585142
0,17031803016,4688.171859497723,1282178.9038633637,3094907.1746460698,7187531.156078263
0,17031803017,57973.28069795549,13115668.039270323,31245196.385203682,71568675.55931492
0,17031803100,6690.701371767442,1724870.1617222233,4152883.898306828,9577525.729710693
0,17031803200,29086.135292144085,6684056.224614839,15927315.735221177,36532044.14329536
0,17031803300,47076.85060139338,10556992.716116035,25134023.851050895,57510995.898201786
0,17031803400,24402.653254337794,5480543.652387897,13029671.790842757,29876665.256146885
0,17031803500,34868.10615764789,7740653.134360891,18375099.378828917,42095722.771158844
0,17031803603,48410.906204661725,10769724.774974033,25759720.242943805,58545457.28570189
0,17031803604,19074.424385098813,4479374.658345565,10701256.42339691,24579933.143172216
0,17031803605,77394.31399843626,16868933.632811617,40072208.50786679,91492166.42890994
0,17031803606,116145.30851161103,25275507.162524372,60236091.101848476,137037480.616032
0,17031803607,35492.130465947004,7921766.440758525,18856586.000932083,43130721.89548368
0,17031803608,122057.68547386683,26728695.704502054,64308314.862455904,145002063.8979025
