,FIPS,exposure1,exposure2,exposure3,exposure4
0,17113001800,1.400743615789938,1.400743615789938,1.4007436157899382,1.400743615789938
0,17113002101,2.0196623879035687,2.019662387903569,2.0303030465967526,2.021181864010369
0,17113002102,1.5319282006771366,1.5319282006771364,1.5353752571618964,1.5332046981462109
0,17113005101,1.4653917376796701,1.4653917376796703,1.4796074426402641,1.469572763011312
0,17113005102,1.7607491331666891,1.760749133166689,1.775253747377561,1.767256982767615
0,17113005201,1.8977909577501273,1.8977909577501277,1.9054710702851891,1.900969349093636
0,17113005202,1.8697063302940022,1.8697063302940027,1.8793057045483235,1.8736106071695948
0,17113005400,1.2089248503440675,1.2089248503440675,1.2247067300719432,1.2137147561723312
0,17113005501,1.3771727340166806,1.3771727340166806,1.3771727340166806,1.3771727340166802
0,17113005502,1.2838389710154625,1.2838389710154625,1.2885033970242339,1.2855673498949904
0,17113005601,1.5824146484350312,1.582414648435031,1.5912709578355295,1.5880895306395655
0,17113005602,1.1478813400370604,1.1478813400370604,1.1296679880679297,1.1443935564649261
0,17113005700,2.111504762318642,2.1115047623186416,2.1251169912282446,2.1185263455371897
0,17113005800,2.1216154441247372,2.1216154441247372,2.131575079642902,2.124153112192054
0,17113005900,2.2321795421392903,2.2321795421392903,2.240080806886843,2.236289377305126
0,17113006000,1.3757808623272365,1.3757808623272365,1.3757808623272365,1.3757808623272365
0,17119400101,1.7008654394945197,1.7008654394945197,1.70086543949452,1.7008654394945197
0,17119400102,2.3161159784452128,2.3161159784452128,2.3190006667800134,2.3192753401856274
0,17119400200,2.324037351773781,2.324037351773781,2.3396687238441873,2.339591163626416
0,17119400600,1.7401817030098465,1.7401817030098468,1.7385259613694968,1.738341667923928
0,17119400700,2.2143302519792116,2.2143302519792116,2.2267059075112634,2.2293972187418154
0,17119400801,1.6174788961284052,1.617478896128405,1.626176055941677,1.6215024589820934
0,17119400802,2.4684314419079465,2.468431441907946,2.4731224093358364,2.473569088729773
0,17119400903,2.285567520734636,2.285567520734636,2.2942364276010485,2.295057210537135
0,17119400904,2.269927608707295,2.269927608707295,2.2739655094269504,2.2743465007535444
0,17119400951,2.0196489411900815,2.019648941190082,2.024087921459848,2.0244661745041492
0,17119400952,2.721134321921248,2.721134321921249,2.728685093604643,2.728241541343146
0,17119401000,2.272648608949786,2.272648608949786,2.278579447815388,2.2791391437002173
0,17119401100,2.5965957433665476,2.5965957433665476,2.599210052498099,2.599458085919857
0,17119401200,2.3421648928561156,2.342164892856115,2.342164892856115,2.3421648928561156
0,17119401300,2.330203386559196,2.330203386559196,2.3323285887934793,2.332088297485469
0,17119401400,2.4268580194977583,2.4268580194977583,2.4268580194977583,2.4268580194977583
0,17119401500,2.314022411641025,2.314022411641025,2.3160153171914826,2.3162029900291503
0,17119401701,2.4935449401022307,2.4935449401022303,2.4952227828965716,2.4953806046191596
0,17119401721,2.6613318003164297,2.66133180031643,2.6631660367369827,2.6633007424742394
0,17119401722,2.682103965433894,2.682103965433894,2.6847183632401257,2.684962089889798
0,17119401800,2.7054428536168578,2.7054428536168578,2.708080313318352,2.7087997640533548
0,17119401901,2.143757077582835,2.143757077582835,2.1459575095611485,2.1461658086889015
0,17119401903,2.3547846971621924,2.3547846971621924,2.3582438090232527,2.3585714479737696
0,17119401904,2.5954648164439194,2.5954648164439202,2.598078528698924,2.5983172632010376
0,17119402000,2.375363327423471,2.3753633274234707,2.378796925409143,2.3791210077813423
0,17119402100,2.3799082871715243,2.3799082871715243,2.3886792192577917,2.385094099786352
0,17119402200,2.5025150122524624,2.5025150122524624,2.510002344756495,2.509278476337737
0,17119402300,2.241944707896756,2.2419447078967556,2.240638991052161,2.2414294645417394
0,17119402400,1.4941751382893085,1.4941751382893085,1.4941751382893087,1.4941751382893085
0,17119402500,1.975760998799161,1.975760998799161,1.975760998799161,1.975760998799161
0,17119402600,2.052761328261076,2.052761328261076,2.0557628923135294,2.0582749984629936
0,17119402701,2.4977563741610393,2.4977563741610393,2.5065263962702784,2.5058209175174193
0,17119402721,2.6080677594606425,2.6080677594606407,2.6194242655611513,2.6161683389600103
0,17119402722,2.609702126962289,2.609702126962289,2.618321191696368,2.615540483301289
