,RESIDENCE,WORKPLACE,JOBS
58618,17097864802,17031803008,98.67655468191565
58619,17097864802,17031804603,197.3531093638313
58620,17097864802,17031805902,98.67655468191565
58621,17097864802,17031806600,98.67655468191565
58622,17097864802,17031808800,98.67655468191565
58623,17097864802,17031839100,493.38277340957825
58624,17097864802,17031980000,98.67655468191565
58625,17097864802,17097862200,138.02481125991122
58626,17097864802,17097863702,552.0992450396449
58627,17097864802,17097864002,414.0744337797337
58628,17097864802,17097864505,483.0868394096893
58629,17097864802,17097864516,138.02481125991122
58630,17097864802,17097864521,138.02481125991122
58631,17097864802,17097864801,414.0744337797337
58632,17097864802,17097864802,3036.545847718047
58633,17097864802,17097864901,414.0744337797337
58634,17097864802,17097864904,414.0744337797337
58635,17097864802,17097865802,690.1240562995561
58636,17097864802,17097866200,138.02481125991122
58637,17097864901,17031010400,98.67655468191565
58638,17097864901,17031081700,98.67655468191565
58639,17097864901,17031081800,98.67655468191565
58640,17097864901,17031160700,98.67655468191565
58641,17097864901,17031231500,98.67655468191565
58642,17097864901,17031320100,345.3679413867048
58643,17097864901,17031801500,394.7062187276626
58644,17097864901,17031801601,296.0296640457469
58645,17097864901,17031801603,98.67655468191565
58646,17097864901,17031801606,98.67655468191565
58647,17097864901,17031802002,98.67655468191565
58648,17097864901,17031802701,98.67655468191565
58649,17097864901,17031803604,98.67655468191565
58650,17097864901,17031805107,197.3531093638313
58651,17097864901,17031805902,98.67655468191565
58652,17097864901,17031808702,197.3531093638313
58653,17097864901,17031820902,98.67655468191565
58654,17097864901,17031839100,592.0593280914939
58655,17097864901,17031842200,98.67655468191565
58656,17097864901,17097863400,138.02481125991122
58657,17097864901,17097863500,138.02481125991122
58658,17097864901,17097863601,414.0744337797337
58659,17097864901,17097863702,828.1488675594674
58660,17097864901,17097864505,276.04962251982244
58661,17097864901,17097864513,276.04962251982244
58662,17097864901,17097864520,138.02481125991122
58663,17097864901,17097864801,138.02481125991122
58664,17097864901,17097864802,414.0744337797337
58665,17097864901,17097864901,966.1736788193786
58666,17097864901,17097864903,276.04962251982244
58667,17097864901,17097864904,1380.2481125991121
58668,17097864901,17097865400,552.0992450396449
58669,17097864901,17097865501,138.02481125991122
58670,17097864901,17097865502,138.02481125991122
58671,17097864901,17097865801,138.02481125991122
58672,17097864901,17097865802,759.1364619295117
58673,17097864901,17097866200,207.03721688986684
58674,17097864901,17167001300,10.933333333333334
58675,17097864903,17031320100,296.0296640457469
58676,17097864903,17031770601,98.67655468191565
58677,17097864903,17031800200,98.67655468191565
58678,17097864903,17031801500,345.3679413867048
58679,17097864903,17031801601,197.3531093638313
58680,17097864903,17031801608,98.67655468191565
58681,17097864903,17031801800,197.3531093638313
58682,17097864903,17031806900,296.0296640457469
58683,17097864903,17031808702,345.3679413867048
58684,17097864903,17031808800,98.67655468191565
58685,17097864903,17031839100,592.0593280914939
58686,17097864903,17043844401,63.578947368421055
58687,17097864903,17043844402,63.578947368421055
58688,17097864903,17097862200,138.02481125991122
58689,17097864903,17097863004,138.02481125991122
58690,17097864903,17097863601,276.04962251982244
58691,17097864903,17097863702,759.1364619295117
58692,17097864903,17097864408,138.02481125991122
58693,17097864903,17097864505,1311.2357069691566
58694,17097864903,17097864521,276.04962251982244
58695,17097864903,17097864522,138.02481125991122
58696,17097864903,17097864801,276.04962251982244
58697,17097864903,17097864802,966.1736788193786
58698,17097864903,17097864901,276.04962251982244
58699,17097864903,17097864903,759.1364619295117
58700,17097864903,17097864904,966.1736788193786
58701,17097864903,17097865400,138.02481125991122
58702,17097864903,17097865501,138.02481125991122
58703,17097864903,17097865801,138.02481125991122
58704,17097864903,17097865802,1173.2108957092453
58705,17097864903,17097866200,138.02481125991122
58706,17097864904,17031081401,98.67655468191565
58707,17097864904,17031081500,98.67655468191565
58708,17097864904,17031081800,98.67655468191565
58709,17097864904,17031160700,98.67655468191565
58710,17097864904,17031280100,98.67655468191565
58711,17097864904,17031770700,98.67655468191565
58712,17097864904,17031800200,98.67655468191565
58713,17097864904,17031801500,444.0444960686204
58714,17097864904,17031801601,345.3679413867048
58715,17097864904,17031801603,98.67655468191565
58716,17097864904,17031801607,98.67655468191565
58717,17097864904,17031801608,98.67655468191565
58718,17097864904,17031801702,98.67655468191565
58719,17097864904,17031801800,197.3531093638313
58720,17097864904,17031803901,98.67655468191565
58721,17097864904,17031804603,148.01483202287346
58722,17097864904,17031805107,197.3531093638313
58723,17097864904,17031805901,98.67655468191565
58724,17097864904,17031820902,98.67655468191565
58725,17097864904,17031839100,98.67655468191565
58726,17097864904,17031980000,98.67655468191565
58727,17097864904,17043840201,63.578947368421055
58728,17097864904,17097862200,276.04962251982244
58729,17097864904,17097863702,483.0868394096893
58730,17097864904,17097864505,276.04962251982244
58731,17097864904,17097864521,138.02481125991122
58732,17097864904,17097864801,138.02481125991122
58733,17097864904,17097864802,414.0744337797337
58734,17097864904,17097864901,276.04962251982244
58735,17097864904,17097864904,1587.285329488979
58736,17097864904,17097865400,138.02481125991122
58737,17097864904,17097865501,138.02481125991122
58738,17097864904,17097865502,138.02481125991122
58739,17097864904,17097865802,276.04962251982244
58740,17097865000,17031801606,197.3531093638313
58741,17097865000,17031806600,98.67655468191565
58742,17097865000,17031980000,98.67655468191565
58743,17097865000,17097863400,276.04962251982244
58744,17097865000,17097863500,414.0744337797337
58745,17097865000,17097863702,345.06202814977803
58746,17097865000,17097864521,345.06202814977803
58747,17097865000,17097864801,138.02481125991122
58748,17097865000,17097865802,138.02481125991122
58749,17097865000,17097866200,138.02481125991122
58750,17097865200,17031081500,98.67655468191565
58751,17097865200,17031280100,98.67655468191565
58752,17097865200,17031800200,98.67655468191565
58753,17097865200,17031801601,98.67655468191565
58754,17097865200,17031801800,197.3531093638313
58755,17097865200,17031808600,98.67655468191565
58756,17097865200,17031808800,98.67655468191565
58757,17097865200,17031839100,296.0296640457469
58758,17097865200,17031980000,98.67655468191565
58759,17097865200,17097861504,138.02481125991122
58760,17097865200,17097861702,138.02481125991122
58761,17097865200,17097862200,138.02481125991122
58762,17097865200,17097863300,276.04962251982244
58763,17097865200,17097863500,138.02481125991122
58764,17097865200,17097863702,138.02481125991122
58765,17097865200,17097863903,138.02481125991122
58766,17097865200,17097864505,690.1240562995561
58767,17097865200,17097864601,138.02481125991122
58768,17097865200,17097864700,621.1116506696005
58769,17097865200,17097864904,483.0868394096893
58770,17097865200,17097865200,2208.3969801585795
58771,17097865200,17097865300,138.02481125991122
58772,17097865200,17097865400,2691.4838195682687
58773,17097865200,17097865501,414.0744337797337
58774,17097865200,17097865502,345.06202814977803
58775,17097865200,17097865801,276.04962251982244
58776,17097865200,17097865802,1035.1860844493342
58777,17097865200,17097866200,276.04962251982244
58778,17097865200,17201000600,83.07142857142857
58779,17097865300,17031010400,98.67655468191565
58780,17097865300,17031280100,98.67655468191565
58781,17097865300,17031770400,98.67655468191565
58782,17097865300,17031800900,98.67655468191565
58783,17097865300,17031801603,98.67655468191565
58784,17097865300,17031801901,98.67655468191565
58785,17097865300,17031806004,98.67655468191565
58786,17097865300,17031808002,98.67655468191565
58787,17097865300,17031839100,246.69138670478912
58788,17097865300,17097862200,276.04962251982244
58789,17097865300,17097863604,138.02481125991122
58790,17097865300,17097863702,621.1116506696005
58791,17097865300,17097864514,207.03721688986684
58792,17097865300,17097864801,897.1612731894229
58793,17097865300,17097865300,138.02481125991122
58794,17097865300,17097865400,621.1116506696005
58795,17097865300,17097865501,138.02481125991122
58796,17097865300,17097865502,138.02481125991122
58797,17097865300,17097865802,2553.4590083083576
58798,17097865300,17097866200,138.02481125991122
58799,17097865400,17031010400,98.67655468191565
58800,17097865400,17031081401,98.67655468191565
58801,17097865400,17031081403,98.67655468191565
58802,17097865400,17031081700,98.67655468191565
58803,17097865400,17031320100,98.67655468191565
58804,17097865400,17031320400,98.67655468191565
58805,17097865400,17031770202,98.67655468191565
58806,17097865400,17031800800,98.67655468191565
58807,17097865400,17031801500,296.0296640457469
58808,17097865400,17031801601,197.3531093638313
58809,17097865400,17031801603,197.3531093638313
58810,17097865400,17031801606,98.67655468191565
58811,17097865400,17031801607,98.67655468191565
58812,17097865400,17031802402,98.67655468191565
58813,17097865400,17031802504,98.67655468191565
58814,17097865400,17031802505,98.67655468191565
58815,17097865400,17031803005,98.67655468191565
