GEOID,income
17031032100,107129.506
17031040100,119416.62600000002
17031040201,86952.44700000001
17031040202,33561.718
17031040300,105331.116
17031040401,111631.104
17031040402,137096.895
17031040600,94501.242
17031040700,104849.005
17031040800,82350.208
17031040900,107569.66100000002
17031050100,151035.876
17031050200,94017.26699999999
17031050300,60614.352
17031050500,108786.586
17031050600,140669.37
17031050700,161106.027
17031050800,162956.213
17031050900,112933.75
17031051000,141714.772
17031051100,188466.41600000003
17031051200,131476.5
17031051300,133267.937
17031051400,130770.83099999999
17031060100,102772.34199999999
17031060200,47167.5
17031060300,121371.76800000001
17031060400,134230.707
17031060500,86717.983
17031060800,96552.19899999998
17031060900,101824.81199999999
17031061000,125504.75299999998
17031061100,100811.728
17031061200,92524.082
17031061500,138592.296
17031061800,115274.01800000001
17031061901,85248.695
17031061902,86420.084
17031062000,152465.52599999998
17031062100,105910.39799999999
17031062200,149706.586
17031062300,117081.45300000001
17031062400,154713.464
17031062500,144282.532
17031062600,171798.902
17031062700,187848.492
17031062800,124228.868
17031062900,152534.975
17031063000,171566.703
17031063100,134563.36800000002
17031063200,117456.808
17031063301,90221.901
17031063302,120078.082
17031063303,147435.16
17031063400,134223.666
17031070101,93915.16
17031070102,196443.077
17031070103,50579.914000000004
17031070200,102605.805
17031070300,176836.95899999997
17031070400,135321.458
17031070500,132486.062
17031070600,97554.618
17031070700,89721.89199999999
17031071000,110811.962
17031071100,143476.995
17031071200,118521.67199999999
17031071300,133070.634
17031071400,134994.17299999998
17031071500,137970.864
17031071600,120392.214
17031071700,153033.38199999998
17031071800,193607.485
17031080100,163507.734
17031080201,146911.87099999998
17031080202,123897.425
17031080300,150135.80000000002
17031080400,35634.047999999995
17031081000,114202.22
17031081100,73288.71
17031081201,56169.18
17031081202,174428.858
17031081300,137876.55599999998
17031081401,187374.56
17031081402,155043.03
17031081403,166813.856
17031081500,203180.13
17031081600,164221.99399999998
17031081700,105424.769
17031081800,161586.18499999997
17031081900,104050.166
17031090100,123056.39300000001
17031090200,137588.824
17031090300,106068.466
17031100100,89653.88699999999
17031100200,101244.136
17031100300,111071.534
17031100400,109474.871
17031100500,105185.897
17031100600,87276.013
17031100700,98571.65699999999
17031110100,97241.853
17031110200,81253.198
17031110300,83651.692
17031110400,75447.11
17031110501,99444.03300000001
17031110502,88344.776
17031120100,149890.516
17031120200,136347.647
17031120300,135839.453
17031120400,95774.26699999999
17031130100,36701.347
17031130200,121111.612
17031130300,67443.955
17031140100,24660.892000000003
17031140200,31863.282000000003
17031140301,43357.132000000005
17031140302,81540.495
17031140400,60872.514
17031140500,33229.436
17031140601,61033.715
17031140602,36254.589
17031140701,75530.857
17031140702,60599.280999999995
17031140800,93961.344
17031150200,79755.965
17031150300,90197.09
17031150401,90824.62599999999
17031150402,75411.466
17031150501,74739.654
17031150502,73873.302
