"","X.x","GEOID","countyFIPS","POPULATION","POP_DENSITY","Shape_Area","NUM_WORKERS","EMPLOYMENT_DENSITY","No..Hospitals","No..Populated.Places","Total.Points.of.Interest","exposure_entropy","ALAND","cases1","cases2","cases3","cases4","income","X.y","exposure1","exposure2","exposure3","exposure4","county_pop","estimate_cases1","estimate_cases2","estimate_cases3","estimate_cases4","estimate_cases1_density","estimate_cases2_density","estimate_cases3_density","estimate_cases4_density","pop_density_class","income_class"
"1909",1908,17031817500,17031,3623,9.9433532176825,5.1339751976e-05,4066635,5.74880753917,0,1,16,2.21760094276603,1888113,408,73516,85971,187602,45289.138,0,0.000889105413068943,0.000549645368049752,0.00091739400247149,0.000738598254354279,5194675,0.28455755172364,51.2733651287135,59.9600423510614,130.842073084457,0.390338956918483,70.3337224431843,82.2495844736248,179.481296558385,"3","1"
"1910",1909,17031818300,17031,5826,9.8479523821575,8.6117171949e-05,4066635,2.99834247006875,0,1,8,3.32619811927659,3173557,408,73516,85971,187602,49119.458,0,0.00500634814575749,0.0031026299596365,0.00515091148749352,0.00416113102210739,5194675,0.4575855082368,82.4506279988642,96.4193228642793,210.401854206471,0.373444203565057,67.2895197776685,78.6896363350283,171.712939895127,"3","2"
"1911",1910,17031291600,17031,1055,19.4132611392,2.3890947735e-05,4066635,0.699245424919,0,0,1,1.94473898544876,220340,408,73516,85971,187602,11690.778,0,0.000345150712985069,0.000212823807801064,0.000356361928811651,0.000285352762777721,5194675,0.0828617767232791,14.9305548470309,17.460073055581,38.1005760706878,0.974003820065775,175.502119695969,205.235496114889,447.855550617597,"4","1"
"1912",1911,17031400400,17031,1955,24.28412275435,1.7706679709e-05,4066635,0.325212470626,0,1,3,1.81452084327163,326944,408,73516,85971,187602,31115.773,0,0.000995464024570075,0.00061669069765543,0.00102847045443222,0.000825852440945343,5194675,0.153549548335555,27.6675210672467,32.3549221077353,70.6034371736442,1.21639586653705,219.177839520435,256.310708436413,559.309552338438,"4","1"
"1913",1912,17031816500,17031,4438,13.8048544867033,0.000126128924287,4066635,3.84854747303667,0,0,4,2.79928836451003,3487184,408,73516,85971,187602,52984.904,0,0.00279723420190734,0.00173315554772572,0.00288374829479865,0.0023243360890282,5194675,0.348569256016979,62.8073956503535,73.4481556594012,160.275219527689,0.258889227836551,46.648285474588,54.5513867802356,119.039551275962,"3","2"
"1914",1913,17097862300,17097,3033,12.2164975402833,0.000116790120976,4066635,0.836974978919367,0,0,10,2.60166115344352,1477788,53,7950,9303,22096,25889.154,0,0.00234812243518729,0.0012248930023902,0.00202159472124872,0.00180196479659346,703462,0.228511277083908,34.2766915625862,40.1101964285207,95.2676448763402,0.400493310033186,60.0739965049778,70.2979106271458,166.967927896099,"3","1"
"1915",1914,17097862402,17097,3341,20.9047021294667,2.9026376551e-05,4066635,0.659692602866533,0,1,8,2.93563602723345,796897,53,7950,9303,22096,40447.519,0,0.00207181469502985,0.00107805009906176,0.00177644236744874,0.00157866377641201,703462,0.251716510628861,37.7574765943292,44.1833716675528,104.94203809161,0.818105429595984,122.715814439398,143.600656821348,341.072784384016,"4","1"
"1916",1915,17097862501,17097,3992,16.212813833,6.4604564746e-05,4066635,1.441506626822,0,0,3,3.05123218419896,1182515,53,7950,9303,22096,40669.007,0,0.00307775821371185,0.001604007993774,0.00262997497814771,0.00234385312730216,703462,0.300763936076149,45.1145904114224,52.7925829682342,125.390187387521,0.658747326196476,98.8120989294714,115.628799539732,274.635489049761,"4","1"
"1917",1916,17097860905,17097,5734,3.90373682741,0.000301109599984,4066635,0.273995157638075,0,3,7,3.09277743686519,9047269,53,7950,9303,22096,85137.71,0,0.0053616029537586,0.00280257424481561,0.00462715556749466,0.00410372564888615,703462,0.432009120606372,64.8013680909559,75.8298273396431,180.107047715442,0.123673079950481,18.5509619925721,21.7081257128174,51.560007067657,"2","3"
"1918",1917,17097861303,17097,4972,15.4336601291,7.242591049e-05,4066635,0.676495906593,0,1,2,3.22071178556247,1326728,53,7950,9303,22096,51477.351,0,0.0033095521120783,0.00172595230643288,0.0028846474290116,0.00254055112854571,703462,0.374598770082819,56.1898155124228,65.7526860015182,156.172347617924,0.7312808763473,109.692131452095,128.360490427527,304.875136674905,"3","2"
